Tempo	Posicao
0.0207	0.251
0.0407	0.252
0.0607	0.254
0.0807	0.255
0.1007	0.255
0.1207	0.254
0.1407	0.253
0.1607	0.252
0.1807	0.249
0.2007	0.246
0.2207	0.244
0.2407	0.240
0.2607	0.234
0.2807	0.232
0.3007	0.227
0.3206	0.220
0.3406	0.217
0.3606	0.211
0.3806	0.207
0.4006	0.203
0.4206	0.199
0.4406	0.196
0.4606	0.193
0.4806	0.190
0.5005	0.189
0.5205	0.188
0.5405	0.187
0.5605	0.187
0.5805	0.188
0.6006	0.190
0.6206	0.192
0.6406	0.194
0.6606	0.197
0.6806	0.201
0.7006	0.204
0.7206	0.209
0.7406	0.213
0.7606	0.217
0.7806	0.221
0.8007	0.225
0.8207	0.230
0.8407	0.233
0.8607	0.237
0.8807	0.242
0.9007	0.245
0.9207	0.248
0.9407	0.249
0.9607	0.250
0.9807	0.251
1.0007	0.252
1.0207	0.252
1.0407	0.251
1.0607	0.250
1.0807	0.248
1.1007	0.245
1.1207	0.244
1.1407	0.241
1.1607	0.238
1.1807	0.235
1.2007	0.232
1.2207	0.227
1.2407	0.224
1.2606	0.221
1.2806	0.219
1.3006	0.216
1.3206	0.214
1.3406	0.212
1.3606	0.210
1.3806	0.209
1.4006	0.208
1.4206	0.207
1.4406	0.206
1.4606	0.206
1.4806	0.206
1.5006	0.206
1.5206	0.206
1.5406	0.206
1.5606	0.207
1.5806	0.207
1.6006	0.208
1.6206	0.209
1.6406	0.209
1.6606	0.210
1.6806	0.211
1.7006	0.212
1.7206	0.212
1.7406	0.213
1.7606	0.214
1.7806	0.215
1.8006	0.218
1.8206	0.218
1.8406	0.219
1.8606	0.221
1.8806	0.222
1.9006	0.223
1.9207	0.224
1.9407	0.224
1.9607	0.227
1.9807	0.229
2.0007	0.230
2.0207	0.231
2.0407	0.233
2.0607	0.234
2.0807	0.234
2.1007	0.238
2.1207	0.237
2.1407	0.240
2.1607	0.241
2.1807	0.240
2.2007	0.244
2.2207	0.244
2.2407	0.244
2.2607	0.244
2.2807	0.243
2.3007	0.242
2.3207	0.241
2.3407	0.237
2.3607	0.237
2.3807	0.235
2.4007	0.231
2.4207	0.227
2.4407	0.225
2.4606	0.220
2.4806	0.216
2.5006	0.213
2.5206	0.209
2.5406	0.206
2.5606	0.202
2.5806	0.200
2.6006	0.197
2.6206	0.195
2.6406	0.193
2.6606	0.192
2.6806	0.191
2.7006	0.191
2.7206	0.191
2.7406	0.192
2.7606	0.194
2.7806	0.196
2.8006	0.198
2.8206	0.201
2.8406	0.204
2.8606	0.208
2.8806	0.212
2.9006	0.216
2.9206	0.221
2.9407	0.225
2.9607	0.230
2.9807	0.236
3.0007	0.240
3.0207	0.244
3.0407	0.247
3.0607	0.250
3.0807	0.252
3.1007	0.254
3.1207	0.256
3.1407	0.256
3.1607	0.256
3.1807	0.256
3.2007	0.255
3.2207	0.253
3.2407	0.251
3.2607	0.248
3.2807	0.243
3.3007	0.241
3.3207	0.237
3.3407	0.233
3.3607	0.227
3.3806	0.223
3.4006	0.219
3.4206	0.214
3.4406	0.211
3.4606	0.207
3.4806	0.204
3.5006	0.201
3.5206	0.199
3.5406	0.197
3.5606	0.196
3.5806	0.195
3.6006	0.195
3.6206	0.195
3.6406	0.195
3.6606	0.196
3.6806	0.198
3.7006	0.199
3.7206	0.201
3.7406	0.204
3.7606	0.206
3.7806	0.209
3.8006	0.212
3.8206	0.214
3.8406	0.217
3.8606	0.221
3.8806	0.223
3.9007	0.227
3.9207	0.229
3.9407	0.231
3.9607	0.233
3.9807	0.235
4.0007	0.236
4.0207	0.237
4.0407	0.238
4.0607	0.238
4.0807	0.238
4.1007	0.238
4.1207	0.238
4.1407	0.238
4.1607	0.237
4.1807	0.234
4.2007	0.234
4.2207	0.236
4.2407	0.233
4.2607	0.234
4.2807	0.232
4.3007	0.233
4.3207	0.233
4.3407	0.231
4.3607	0.232
4.3807	0.231
4.4007	0.230
4.4207	0.229
4.4407	0.228
4.4607	0.227
4.4807	0.226
4.5007	0.225
4.5206	0.222
4.5406	0.221
4.5606	0.221
4.5806	0.217
4.6006	0.216
4.6206	0.214
4.6406	0.212
4.6606	0.210
4.6806	0.209
4.7006	0.207
4.7206	0.206
4.7406	0.204
4.7606	0.203
4.7806	0.202
4.8006	0.201
4.8206	0.201
4.8406	0.201
4.8606	0.201
4.8806	0.202
4.9006	0.202
4.9206	0.203
4.9406	0.205
4.9606	0.207
4.9806	0.209
5.0006	0.212
5.0206	0.215
5.0406	0.218
5.0606	0.223
5.0807	0.227
5.1007	0.230
5.1207	0.234
5.1407	0.237
5.1607	0.239
5.1807	0.244
5.2007	0.246
5.2207	0.249
5.2407	0.251
5.2607	0.252
5.2807	0.253
5.3007	0.253
5.3207	0.253
5.3407	0.253
5.3607	0.251
5.3807	0.250
5.4007	0.248
5.4207	0.244
5.4407	0.241
5.4607	0.238
5.4807	0.234
5.5007	0.230
5.5207	0.225
5.5406	0.221
5.5606	0.217
5.5806	0.210
5.6006	0.208
5.6206	0.203
5.6406	0.199
5.6606	0.196
5.6806	0.194
5.7006	0.192
5.7206	0.191
5.7406	0.190
5.7606	0.190
5.7806	0.190
5.8006	0.191
5.8206	0.192
5.8406	0.194
5.8606	0.197
5.8806	0.200
5.9006	0.203
5.9206	0.206
5.9406	0.210
5.9606	0.214
5.9806	0.219
6.0007	0.225
6.0207	0.228
6.0407	0.232
6.0607	0.235
6.0807	0.239
6.1007	0.241
6.1207	0.244
6.1407	0.245
6.1607	0.247
6.1807	0.249
6.2007	0.249
6.2207	0.248
6.2407	0.249
6.2607	0.248
6.2807	0.246
6.3007	0.245
6.3207	0.243
6.3407	0.241
6.3607	0.237
6.3807	0.236
6.4007	0.234
6.4207	0.231
6.4407	0.227
6.4607	0.224
6.4806	0.223
6.5006	0.219
6.5206	0.217
6.5406	0.215
6.5606	0.213
6.5806	0.212
6.6006	0.211
6.6206	0.210
6.6406	0.209
6.6606	0.208
6.6806	0.208
6.7006	0.208
6.7206	0.207
6.7406	0.207
6.7606	0.208
6.7806	0.208
6.8006	0.208
6.8206	0.209
6.8406	0.209
6.8606	0.209
6.8806	0.210
6.9006	0.211
6.9206	0.211
6.9406	0.212
6.9606	0.212
6.9806	0.213
7.0006	0.214
7.0206	0.214
7.0406	0.216
7.0606	0.216
7.0806	0.217
7.1006	0.219
7.1206	0.220
7.1406	0.221
7.1606	0.223
7.1807	0.224
7.2007	0.228
7.2207	0.230
7.2407	0.232
7.2607	0.233
7.2807	0.235
7.3007	0.237
7.3207	0.239
7.3407	0.240
7.3607	0.242
7.3807	0.243
7.4007	0.244
7.4207	0.244
7.4407	0.244
7.4607	0.244
7.4807	0.244
7.5007	0.243
7.5207	0.242
7.5407	0.240
7.5607	0.239
7.5807	0.236
7.6007	0.234
7.6207	0.230
7.6407	0.227
7.6607	0.224
7.6806	0.220
7.7006	0.215
7.7206	0.212
7.7406	0.208
7.7606	0.205
7.7806	0.202
7.8006	0.199
7.8206	0.197
7.8406	0.195
7.8606	0.193
7.8806	0.192
7.9006	0.192
7.9206	0.191
7.9406	0.192
7.9606	0.193
7.9806	0.195
8.0006	0.197
8.0206	0.200
8.0406	0.203
8.0606	0.206
8.0806	0.210
8.1006	0.214
8.1206	0.220
8.1406	0.222
8.1607	0.227
8.1807	0.231
8.2007	0.235
8.2207	0.241
8.2407	0.244
8.2607	0.247
8.2807	0.250
8.3007	0.252
8.3207	0.253
8.3407	0.254
8.3607	0.255
8.3807	0.254
8.4007	0.254
8.4207	0.252
8.4407	0.251
8.4607	0.248
8.4807	0.246
8.5007	0.242
8.5207	0.239
8.5407	0.235
8.5607	0.231
8.5807	0.227
8.6006	0.222
8.6206	0.218
8.6406	0.214
8.6606	0.210
8.6806	0.207
8.7006	0.204
8.7206	0.202
8.7406	0.200
8.7606	0.198
8.7806	0.197
8.8006	0.197
8.8206	0.197
8.8406	0.197
8.8606	0.198
8.8806	0.199
8.9006	0.200
8.9206	0.202
8.9406	0.204
8.9606	0.206
8.9806	0.208
9.0006	0.210
9.0206	0.213
9.0406	0.215
9.0606	0.217
9.0806	0.220
9.1006	0.222
9.1207	0.224
9.1407	0.228
9.1607	0.228
9.1807	0.231
9.2007	0.231
9.2207	0.232
9.2407	0.234
9.2607	0.235
9.2807	0.235
9.3007	0.236
9.3207	0.237
9.3407	0.236
9.3607	0.237
9.3807	0.235
9.4007	0.236
9.4207	0.233
9.4407	0.234
9.4607	0.235
9.4807	0.234
9.5007	0.234
9.5207	0.234
9.5407	0.231
9.5607	0.230
9.5807	0.232
9.6007	0.231
9.6207	0.230
9.6407	0.228
9.6607	0.228
9.6807	0.227
9.7007	0.227
9.7206	0.223
9.7407	0.225
9.7606	0.220
9.7806	0.221
9.8006	0.218
9.8206	0.215
9.8406	0.213
9.8606	0.212
9.8806	0.210
9.9006	0.208
9.9206	0.206
9.9406	0.205
9.9606	0.203
9.9806	0.202
10.0006	0.201
10.0206	0.201
10.0406	0.200
10.0606	0.200
10.0806	0.201
10.1006	0.202
10.1206	0.204
10.1406	0.205
10.1606	0.206
10.1806	0.209
10.2006	0.212
10.2206	0.214
10.2406	0.217
10.2606	0.222
10.2806	0.223
10.3007	0.227
10.3207	0.230
10.3407	0.235
10.3607	0.239
10.3807	0.242
10.4007	0.244
10.4207	0.245
10.4407	0.249
10.4607	0.251
10.4807	0.252
10.5007	0.252
10.5207	0.252
10.5407	0.252
10.5607	0.251
10.5807	0.250
10.6007	0.248
10.6207	0.245
10.6407	0.242
10.6607	0.239
10.6807	0.233
10.7007	0.232
10.7207	0.227
10.7406	0.221
10.7606	0.217
10.7806	0.213
10.8006	0.209
10.8206	0.205
10.8406	0.202
10.8606	0.199
10.8806	0.196
10.9006	0.194
10.9206	0.193
10.9406	0.192
10.9606	0.191
10.9806	0.192
11.0006	0.192
11.0206	0.193
11.0406	0.195
11.0606	0.197
11.0806	0.200
11.1006	0.203
11.1206	0.206
11.1406	0.209
11.1606	0.213
11.1806	0.216
11.2006	0.220
11.2207	0.224
11.2407	0.227
11.2607	0.230
11.2807	0.234
11.3007	0.238
11.3207	0.240
11.3407	0.243
11.3607	0.245
11.3807	0.246
11.4007	0.246
11.4207	0.246
11.4407	0.246
11.4607	0.246
11.4807	0.245
11.5007	0.244
11.5207	0.242
11.5407	0.241
11.5607	0.238
11.5807	0.237
11.6007	0.234
11.6207	0.230
11.6407	0.228
11.6607	0.225
11.6806	0.223
11.7006	0.221
11.7206	0.219
11.7406	0.218
11.7606	0.216
11.7806	0.215
11.8006	0.214
11.8206	0.212
11.8406	0.213
11.8606	0.211
11.8806	0.210
11.9006	0.210
11.9206	0.209
11.9406	0.209
11.9606	0.209
11.9806	0.209
12.0006	0.209
12.0206	0.209
12.0406	0.209
12.0606	0.209
12.0806	0.210
12.1006	0.210
12.1206	0.210
12.1406	0.211
12.1606	0.211
12.1806	0.212
12.2006	0.212
12.2206	0.213
12.2406	0.214
12.2606	0.217
12.2806	0.218
12.3006	0.217
12.3206	0.220
12.3406	0.222
12.3606	0.222
12.3807	0.224
12.4007	0.224
12.4207	0.228
12.4407	0.230
12.4607	0.232
12.4807	0.234
12.5007	0.235
12.5207	0.237
12.5407	0.239
12.5607	0.240
12.5807	0.242
12.6007	0.243
12.6207	0.244
12.6407	0.244
12.6607	0.244
12.6807	0.244
12.7007	0.243
12.7207	0.243
12.7407	0.241
12.7607	0.239
12.7807	0.237
12.8007	0.235
12.8207	0.232
12.8407	0.227
12.8607	0.224
12.8806	0.220
12.9006	0.217
12.9206	0.213
12.9406	0.210
12.9606	0.207
12.9806	0.204
13.0006	0.201
13.0206	0.199
13.0406	0.197
13.0606	0.195
13.0806	0.194
13.1006	0.193
13.1206	0.193
13.1406	0.193
13.1606	0.194
13.1806	0.196
13.2006	0.197
13.2206	0.200
13.2406	0.202
13.2606	0.205
13.2806	0.209
13.3006	0.214
13.3206	0.216
13.3406	0.220
13.3607	0.224
13.3807	0.230
13.4007	0.234
13.4207	0.238
13.4407	0.241
13.4607	0.244
13.4807	0.247
13.5007	0.249
13.5207	0.251
13.5407	0.252
13.5607	0.252
13.5807	0.252
13.6007	0.252
13.6207	0.251
13.6407	0.249
13.6607	0.247
13.6807	0.245
13.7007	0.242
13.7207	0.239
13.7407	0.235
13.7607	0.230
13.7807	0.227
13.8006	0.223
13.8206	0.220
13.8406	0.217
13.8606	0.213
13.8806	0.210
13.9006	0.208
13.9206	0.206
13.9406	0.204
13.9606	0.202
13.9806	0.201
14.0006	0.200
14.0206	0.200
14.0406	0.200
14.0606	0.200
14.0806	0.201
14.1006	0.202
14.1206	0.203
14.1406	0.205
14.1606	0.206
14.1806	0.208
14.2006	0.210
14.2206	0.212
14.2406	0.214
14.2606	0.216
14.2806	0.220
14.3006	0.222
14.3207	0.224
14.3406	0.223
14.3607	0.227
14.3807	0.228
14.4007	0.230
14.4207	0.231
14.4407	0.230
14.4607	0.232
14.4807	0.233
14.5007	0.234
14.5207	0.234
14.5407	0.234
14.5607	0.234
14.5807	0.233
14.6007	0.235
14.6207	0.235
14.6407	0.234
14.6607	0.234
14.6807	0.232
14.7007	0.235
14.7207	0.234
14.7407	0.235
14.7607	0.234
14.7807	0.234
14.8007	0.233
14.8207	0.232
14.8407	0.232
14.8607	0.231
14.8807	0.230
14.9007	0.228
14.9207	0.228
14.9407	0.224
14.9607	0.224
14.9806	0.221
15.0006	0.219
15.0206	0.217
15.0406	0.216
15.0606	0.213
15.0806	0.211
15.1006	0.209
15.1206	0.207
15.1406	0.206
15.1606	0.204
15.1806	0.203
15.2006	0.202
15.2206	0.201
15.2406	0.200
15.2606	0.200
15.2806	0.200
15.3006	0.201
15.3206	0.202
15.3406	0.203
15.3606	0.205
15.3806	0.207
15.4006	0.209
15.4206	0.212
15.4406	0.215
15.4606	0.218
15.4806	0.221
15.5007	0.227
15.5207	0.230
15.5407	0.234
15.5607	0.236
15.5807	0.238
15.6007	0.242
15.6207	0.245
15.6407	0.248
15.6607	0.249
15.6807	0.250
15.7007	0.251
15.7207	0.251
15.7407	0.251
15.7607	0.251
15.7807	0.249
15.8007	0.248
15.8207	0.245
15.8407	0.242
15.8607	0.239
15.8807	0.235
15.9007	0.233
15.9207	0.227
15.9407	0.225
15.9606	0.221
15.9806	0.217
16.0006	0.212
16.0206	0.208
16.0406	0.205
16.0606	0.202
16.0806	0.199
16.1006	0.197
16.1206	0.195
16.1406	0.194
16.1606	0.194
16.1806	0.194
16.2006	0.194
16.2206	0.195
16.2406	0.196
16.2606	0.198
16.2806	0.200
16.3006	0.203
16.3206	0.205
16.3406	0.208
16.3606	0.212
16.3806	0.215
16.4006	0.218
16.4206	0.222
16.4407	0.227
16.4607	0.228
16.4807	0.233
16.5007	0.234
16.5207	0.238
16.5407	0.239
16.5607	0.241
16.5807	0.241
16.6007	0.244
16.6207	0.244
16.6407	0.244
16.6607	0.244
16.6807	0.241
16.7007	0.242
16.7207	0.242
16.7407	0.240
16.7607	0.239
16.7807	0.237
16.8007	0.235
16.8207	0.231
16.8407	0.231
16.8607	0.227
16.8807	0.228
16.9006	0.223
16.9207	0.224
16.9406	0.220
16.9606	0.221
16.9806	0.218
17.0006	0.216
17.0206	0.217
17.0406	0.214
17.0606	0.213
17.0806	0.213
17.1006	0.212
17.1206	0.211
17.1406	0.211
17.1606	0.211
17.1806	0.211
17.2006	0.210
17.2206	0.210
17.2406	0.210
17.2606	0.210
17.2806	0.210
17.3006	0.209
17.3206	0.209
17.3406	0.210
17.3606	0.210
17.3806	0.210
17.4006	0.211
17.4206	0.211
17.4406	0.212
17.4606	0.213
17.4806	0.214
17.5006	0.215
17.5206	0.216
17.5406	0.218
17.5606	0.221
17.5806	0.221
17.6007	0.225
17.6207	0.225
17.6407	0.229
17.6607	0.231
17.6807	0.233
17.7007	0.235
17.7207	0.237
17.7407	0.239
17.7607	0.240
17.7807	0.242
17.8007	0.243
17.8207	0.244
17.8407	0.245
17.8607	0.245
17.8807	0.245
17.9007	0.244
17.9207	0.243
17.9407	0.242
17.9607	0.240
17.9807	0.238
18.0007	0.236
18.0207	0.233
18.0407	0.230
18.0607	0.227
18.0807	0.224
18.1006	0.221
18.1206	0.215
18.1406	0.212
18.1606	0.208
18.1806	0.206
18.2006	0.202
18.2206	0.200
18.2406	0.198
18.2606	0.196
18.2806	0.195
18.3006	0.194
18.3206	0.194
18.3406	0.194
18.3606	0.195
18.3806	0.196
18.4006	0.198
18.4206	0.200
18.4406	0.202
18.4606	0.206
18.4806	0.210
18.5006	0.213
18.5206	0.216
18.5406	0.219
18.5607	0.224
18.5807	0.227
18.6007	0.231
18.6207	0.234
18.6407	0.238
18.6607	0.239
18.6807	0.244
18.7007	0.246
18.7207	0.248
18.7407	0.249
18.7607	0.250
18.7807	0.250
18.8007	0.250
18.8207	0.249
18.8407	0.248
18.8607	0.246
18.8807	0.244
18.9007	0.242
18.9207	0.239
18.9407	0.236
18.9607	0.233
18.9807	0.230
19.0007	0.225
19.0206	0.223
19.0406	0.219
19.0606	0.216
19.0806	0.213
19.1006	0.210
19.1206	0.208
19.1406	0.206
19.1606	0.205
19.1806	0.203
19.2006	0.203
19.2206	0.202
19.2406	0.202
19.2606	0.202
19.2806	0.203
19.3006	0.203
19.3206	0.204
19.3406	0.205
19.3606	0.207
19.3806	0.208
19.4006	0.210
19.4206	0.212
19.4406	0.213
19.4606	0.215
19.4806	0.217
19.5006	0.220
19.5206	0.220
19.5406	0.221
19.5606	0.223
19.5807	0.225
19.6007	0.226
19.6207	0.229
19.6407	0.229
19.6607	0.230
19.6807	0.231
19.7007	0.232
19.7207	0.232
19.7407	0.233
19.7607	0.234
19.7807	0.233
19.8007	0.232
19.8207	0.235
19.8407	0.234
19.8607	0.235
19.8807	0.234
19.9007	0.235
19.9207	0.233
19.9407	0.235
19.9607	0.234
19.9807	0.234
20.0007	0.234
20.0207	0.234
20.0407	0.233
20.0607	0.232
20.0807	0.232
20.1007	0.230
20.1207	0.229
20.1407	0.228
20.1607	0.225
20.1807	0.224
20.2006	0.220
20.2206	0.220
20.2406	0.216
20.2606	0.214
20.2806	0.212
