Tempo	Posicao
0.0206	0.202
0.0406	0.204
0.0606	0.206
0.0806	0.207
0.1006	0.211
0.1206	0.209
0.1406	0.212
0.1606	0.213
0.1806	0.213
0.2006	0.214
0.2206	0.214
0.2406	0.214
0.2606	0.214
0.2806	0.214
0.3006	0.213
0.3206	0.213
0.3406	0.211
0.3606	0.210
0.3806	0.209
0.4006	0.208
0.4206	0.210
0.4406	0.207
0.4606	0.208
0.4806	0.206
0.5006	0.206
0.5206	0.204
0.5406	0.204
0.5606	0.205
0.5806	0.202
0.6006	0.204
0.6206	0.201
0.6406	0.200
0.6606	0.200
0.6806	0.199
0.7006	0.198
0.7206	0.199
0.7406	0.197
0.7606	0.196
0.7806	0.195
0.8006	0.194
0.8206	0.194
0.8406	0.193
0.8606	0.192
0.8806	0.192
0.9006	0.191
0.9206	0.190
0.9406	0.190
0.9606	0.190
0.9806	0.189
1.0005	0.189
1.0205	0.189
1.0405	0.189
1.0606	0.189
1.0806	0.190
1.1006	0.190
1.1206	0.191
1.1406	0.192
1.1606	0.193
1.1806	0.194
1.2006	0.198
1.2206	0.197
1.2406	0.199
1.2606	0.201
1.2806	0.203
1.3006	0.206
1.3206	0.207
1.3406	0.210
1.3606	0.213
1.3806	0.214
1.4006	0.216
1.4206	0.217
1.4406	0.219
1.4606	0.220
1.4806	0.221
1.5006	0.222
1.5206	0.221
1.5406	0.222
1.5606	0.223
1.5806	0.222
1.6006	0.221
1.6206	0.220
1.6406	0.218
1.6606	0.217
1.6806	0.215
1.7006	0.210
1.7206	0.210
1.7406	0.206
1.7606	0.202
1.7806	0.200
1.8006	0.196
1.8206	0.193
1.8406	0.190
1.8605	0.187
1.8805	0.184
1.9005	0.182
1.9205	0.179
1.9405	0.178
1.9605	0.176
1.9805	0.175
2.0005	0.174
2.0205	0.173
2.0405	0.174
2.0605	0.174
2.0805	0.175
2.1005	0.176
2.1205	0.178
2.1405	0.180
2.1605	0.183
2.1805	0.186
2.2006	0.189
2.2206	0.192
2.2406	0.196
2.2606	0.200
2.2806	0.204
2.3006	0.208
2.3206	0.214
2.3406	0.218
2.3606	0.218
2.3807	0.224
2.4007	0.227
2.4207	0.230
2.4407	0.232
2.4607	0.233
2.4807	0.235
2.5007	0.235
2.5207	0.235
2.5407	0.234
2.5607	0.234
2.5807	0.232
2.6007	0.230
2.6207	0.227
2.6407	0.224
2.6606	0.221
2.6806	0.217
2.7006	0.213
2.7206	0.209
2.7406	0.203
2.7606	0.198
2.7806	0.193
2.8005	0.189
2.8205	0.185
2.8405	0.181
2.8605	0.178
2.8805	0.174
2.9005	0.172
2.9205	0.169
2.9405	0.168
2.9605	0.166
2.9805	0.166
3.0005	0.166
3.0205	0.166
3.0405	0.167
3.0605	0.169
3.0805	0.171
3.1005	0.174
3.1205	0.177
3.1405	0.181
3.1605	0.185
3.1805	0.189
3.2006	0.193
3.2206	0.198
3.2406	0.202
3.2606	0.208
3.2806	0.213
3.3006	0.218
3.3206	0.221
3.3407	0.225
3.3607	0.228
3.3807	0.232
3.4007	0.234
3.4207	0.235
3.4407	0.237
3.4607	0.237
3.4807	0.238
3.5007	0.237
3.5207	0.236
3.5407	0.234
3.5607	0.232
3.5807	0.229
3.6007	0.226
3.6206	0.223
3.6406	0.219
3.6606	0.215
3.6806	0.211
3.7006	0.207
3.7206	0.200
3.7406	0.195
3.7606	0.191
3.7805	0.187
3.8005	0.184
3.8205	0.180
3.8405	0.177
3.8605	0.174
3.8805	0.172
3.9005	0.171
3.9205	0.170
3.9405	0.169
3.9605	0.169
3.9805	0.169
4.0005	0.170
4.0205	0.172
4.0405	0.174
4.0605	0.176
4.0805	0.179
4.1005	0.182
4.1205	0.185
4.1405	0.189
4.1606	0.192
4.1806	0.196
4.2006	0.200
4.2206	0.204
4.2406	0.207
4.2606	0.211
4.2806	0.216
4.3006	0.216
4.3206	0.221
4.3407	0.224
4.3606	0.223
4.3807	0.228
4.4007	0.228
4.4207	0.229
4.4407	0.229
4.4607	0.228
4.4807	0.228
4.5007	0.227
4.5207	0.225
4.5406	0.224
4.5606	0.221
4.5806	0.219
4.6006	0.217
4.6206	0.214
4.6406	0.209
4.6606	0.207
4.6806	0.204
4.7006	0.200
4.7206	0.197
4.7406	0.194
4.7606	0.192
4.7806	0.190
4.8005	0.188
4.8205	0.186
4.8405	0.184
4.8605	0.183
4.8805	0.182
4.9005	0.182
4.9205	0.182
4.9405	0.182
4.9605	0.182
4.9805	0.183
5.0005	0.184
5.0205	0.185
5.0405	0.186
5.0605	0.187
5.0805	0.189
5.1006	0.191
5.1206	0.192
5.1406	0.194
5.1606	0.198
5.1806	0.198
5.2006	0.202
5.2206	0.202
5.2406	0.203
5.2606	0.204
5.2806	0.206
5.3006	0.207
5.3206	0.208
5.3406	0.211
5.3606	0.211
5.3806	0.211
5.4006	0.213
5.4206	0.211
5.4406	0.211
5.4606	0.211
5.4806	0.211
5.5006	0.213
5.5206	0.211
5.5406	0.210
5.5606	0.212
5.5806	0.211
5.6006	0.209
5.6206	0.210
5.6406	0.208
5.6606	0.207
5.6806	0.208
5.7006	0.206
5.7206	0.205
5.7406	0.204
5.7606	0.203
5.7806	0.203
5.8006	0.202
5.8206	0.201
5.8406	0.201
5.8606	0.200
5.8806	0.200
5.9006	0.199
5.9206	0.198
5.9406	0.197
5.9606	0.197
5.9806	0.196
6.0006	0.195
6.0206	0.195
6.0406	0.194
6.0606	0.193
6.0806	0.192
6.1006	0.192
6.1206	0.191
6.1406	0.191
6.1606	0.190
6.1806	0.190
6.2006	0.189
6.2205	0.189
6.2405	0.189
6.2605	0.189
6.2806	0.189
6.3006	0.190
6.3206	0.191
6.3406	0.192
6.3606	0.192
6.3806	0.193
6.4006	0.195
6.4206	0.196
6.4406	0.198
6.4606	0.200
6.4806	0.203
6.5006	0.203
6.5206	0.207
6.5406	0.207
6.5606	0.209
6.5806	0.213
6.6006	0.214
6.6206	0.217
6.6406	0.218
6.6606	0.219
6.6806	0.221
6.7006	0.219
6.7206	0.222
6.7406	0.222
6.7606	0.222
6.7806	0.222
6.8006	0.221
6.8206	0.220
6.8406	0.218
6.8606	0.217
6.8806	0.215
6.9006	0.211
6.9206	0.210
6.9406	0.207
6.9606	0.204
6.9806	0.201
7.0006	0.198
7.0206	0.194
7.0406	0.191
7.0605	0.189
7.0805	0.186
7.1005	0.183
7.1205	0.181
7.1405	0.179
7.1605	0.177
7.1805	0.176
7.2005	0.175
7.2205	0.174
7.2405	0.174
7.2605	0.174
7.2805	0.175
7.3005	0.176
7.3205	0.178
7.3405	0.180
7.3605	0.182
7.3805	0.185
7.4005	0.188
7.4206	0.191
7.4406	0.195
7.4606	0.199
7.4806	0.203
7.5006	0.206
7.5206	0.211
7.5406	0.216
7.5606	0.219
7.5806	0.223
7.6007	0.226
7.6207	0.228
7.6407	0.230
7.6607	0.232
7.6807	0.233
7.7007	0.234
7.7207	0.234
7.7407	0.234
7.7607	0.233
7.7807	0.232
7.8007	0.230
7.8207	0.227
7.8407	0.224
7.8606	0.222
7.8806	0.218
7.9006	0.214
7.9206	0.209
7.9406	0.204
7.9606	0.200
7.9806	0.195
8.0006	0.191
8.0205	0.187
8.0405	0.183
8.0605	0.180
8.0805	0.176
8.1005	0.174
8.1205	0.171
8.1405	0.169
8.1605	0.168
8.1805	0.167
8.2005	0.167
8.2205	0.167
8.2405	0.168
8.2605	0.169
8.2805	0.171
8.3005	0.174
8.3205	0.177
8.3405	0.180
8.3605	0.184
8.3805	0.188
8.4006	0.192
8.4206	0.196
8.4406	0.201
8.4606	0.207
8.4806	0.211
8.5006	0.216
8.5206	0.220
8.5406	0.223
8.5607	0.227
8.5807	0.229
8.6007	0.232
8.6207	0.234
8.6407	0.235
8.6607	0.236
8.6807	0.236
8.7007	0.236
8.7207	0.235
8.7407	0.233
8.7607	0.232
8.7807	0.229
8.8007	0.227
8.8206	0.223
8.8406	0.219
8.8606	0.216
8.8806	0.210
8.9006	0.206
8.9206	0.202
8.9406	0.197
8.9606	0.193
8.9806	0.189
9.0005	0.186
9.0205	0.182
9.0405	0.179
9.0605	0.176
9.0805	0.174
9.1005	0.173
9.1205	0.171
9.1405	0.171
9.1605	0.170
9.1805	0.170
9.2005	0.171
9.2205	0.173
9.2405	0.174
9.2605	0.176
9.2805	0.179
9.3005	0.181
9.3205	0.185
9.3405	0.188
9.3606	0.191
9.3806	0.195
9.4006	0.198
9.4206	0.202
9.4406	0.208
9.4606	0.211
9.4806	0.214
9.5006	0.217
9.5206	0.220
9.5406	0.223
9.5607	0.224
9.5807	0.226
9.6007	0.227
9.6207	0.227
9.6407	0.228
9.6607	0.228
9.6807	0.227
9.7007	0.226
9.7207	0.225
9.7406	0.223
9.7606	0.221
9.7806	0.219
9.8006	0.217
9.8206	0.214
9.8406	0.212
9.8606	0.207
9.8806	0.204
9.9006	0.201
9.9206	0.199
9.9406	0.198
9.9606	0.193
9.9806	0.191
10.0005	0.189
10.0205	0.187
10.0405	0.186
10.0605	0.185
10.0805	0.184
10.1005	0.183
10.1205	0.183
10.1405	0.183
10.1605	0.183
10.1805	0.183
10.2005	0.184
10.2205	0.185
10.2405	0.186
10.2605	0.187
10.2805	0.189
10.3006	0.191
10.3206	0.192
10.3406	0.194
10.3606	0.196
10.3806	0.197
10.4006	0.201
10.4206	0.201
10.4406	0.202
10.4606	0.204
10.4806	0.205
10.5006	0.208
10.5206	0.209
10.5406	0.209
10.5606	0.211
10.5806	0.209
10.6006	0.212
10.6206	0.211
10.6406	0.212
10.6606	0.211
10.6806	0.212
10.7006	0.210
10.7206	0.211
10.7406	0.212
10.7606	0.210
10.7806	0.211
10.8006	0.208
10.8206	0.208
10.8406	0.209
10.8606	0.207
10.8806	0.208
10.9006	0.208
10.9206	0.207
10.9406	0.207
10.9606	0.206
10.9806	0.204
11.0006	0.204
11.0206	0.202
11.0406	0.201
11.0606	0.201
11.0806	0.200
11.1006	0.200
11.1206	0.200
11.1406	0.198
11.1606	0.197
11.1806	0.197
11.2006	0.196
11.2206	0.195
11.2406	0.194
11.2606	0.194
11.2806	0.193
11.3006	0.192
11.3206	0.192
11.3406	0.191
11.3606	0.190
11.3806	0.190
11.4006	0.190
11.4206	0.189
11.4406	0.189
11.4606	0.189
11.4806	0.189
11.5006	0.190
11.5206	0.190
11.5406	0.191
11.5606	0.192
11.5806	0.193
11.6006	0.195
11.6206	0.196
11.6406	0.197
11.6606	0.199
11.6806	0.201
11.7006	0.203
11.7206	0.204
11.7406	0.207
11.7606	0.208
11.7806	0.213
11.8006	0.212
11.8206	0.214
11.8406	0.217
11.8606	0.219
11.8806	0.220
11.9006	0.221
11.9206	0.222
11.9406	0.222
11.9606	0.222
11.9806	0.222
12.0006	0.221
12.0206	0.220
12.0406	0.219
12.0606	0.217
12.0806	0.216
12.1006	0.214
