Tempo	Posicao
0.0207	0.232
0.0407	0.229
0.0607	0.229
0.0807	0.230
0.1007	0.229
0.1207	0.227
0.1407	0.228
0.1607	0.225
0.1807	0.225
0.2007	0.224
0.2206	0.221
0.2406	0.219
0.2606	0.218
0.2806	0.217
0.3006	0.216
0.3206	0.215
0.3406	0.214
0.3606	0.214
0.3806	0.214
0.4006	0.214
0.4206	0.214
0.4406	0.214
0.4606	0.215
0.4806	0.217
0.5006	0.216
0.5206	0.217
0.5406	0.219
0.5606	0.220
0.5806	0.221
0.6006	0.222
0.6207	0.224
0.6407	0.227
0.6607	0.227
0.6807	0.229
0.7007	0.228
0.7207	0.230
0.7407	0.231
0.7607	0.231
0.7807	0.231
0.8007	0.231
0.8207	0.230
0.8407	0.229
0.8607	0.227
0.8807	0.226
0.9007	0.224
0.9206	0.223
0.9406	0.222
0.9606	0.221
0.9806	0.221
1.0006	0.220
1.0206	0.217
1.0406	0.216
1.0606	0.215
1.0806	0.214
1.1006	0.214
1.1206	0.213
1.1406	0.213
1.1606	0.213
1.1806	0.214
1.2006	0.214
1.2206	0.215
1.2406	0.216
1.2606	0.217
1.2806	0.218
1.3006	0.219
1.3206	0.221
1.3406	0.222
1.3606	0.223
1.3807	0.225
1.4007	0.228
1.4207	0.227
1.4407	0.230
1.4607	0.230
1.4807	0.229
1.5007	0.231
1.5207	0.231
1.5407	0.231
1.5607	0.230
1.5807	0.227
1.6007	0.227
1.6207	0.228
1.6407	0.225
1.6607	0.224
1.6806	0.223
1.7006	0.222
1.7206	0.220
1.7406	0.221
1.7606	0.217
1.7806	0.216
1.8006	0.216
1.8206	0.215
1.8406	0.214
1.8606	0.214
1.8806	0.213
1.9006	0.214
1.9206	0.214
1.9406	0.214
1.9606	0.215
1.9806	0.216
2.0006	0.217
2.0206	0.218
2.0406	0.221
2.0606	0.221
2.0807	0.224
2.1007	0.224
2.1207	0.227
2.1407	0.225
2.1607	0.228
2.1807	0.227
2.2007	0.229
2.2207	0.230
2.2407	0.231
2.2607	0.230
2.2807	0.230
2.3007	0.230
2.3207	0.228
2.3407	0.227
2.3607	0.226
2.3807	0.224
2.4006	0.223
2.4206	0.222
2.4406	0.221
2.4606	0.220
2.4806	0.219
2.5006	0.217
2.5206	0.219
2.5406	0.216
2.5606	0.215
2.5806	0.215
2.6006	0.214
2.6206	0.214
2.6406	0.214
2.6606	0.215
2.6806	0.217
2.7006	0.216
2.7206	0.216
2.7406	0.217
2.7606	0.218
2.7806	0.221
2.8006	0.221
2.8207	0.224
2.8407	0.224
2.8607	0.226
2.8807	0.226
2.9007	0.228
2.9207	0.227
2.9407	0.230
2.9607	0.230
2.9807	0.230
3.0007	0.230
3.0207	0.230
3.0407	0.228
3.0607	0.229
3.0807	0.226
3.1007	0.225
3.1207	0.224
3.1407	0.224
3.1606	0.222
3.1806	0.221
3.2006	0.219
3.2206	0.218
3.2406	0.217
3.2606	0.216
3.2806	0.217
3.3006	0.215
3.3206	0.214
3.3406	0.214
3.3606	0.214
3.3806	0.214
3.4006	0.214
3.4206	0.217
3.4406	0.216
3.4606	0.216
3.4806	0.218
3.5006	0.219
3.5206	0.222
3.5406	0.221
3.5606	0.222
3.5807	0.226
3.6007	0.227
3.6207	0.226
3.6407	0.228
3.6607	0.229
3.6807	0.230
3.7007	0.231
3.7207	0.231
3.7407	0.231
3.7607	0.231
3.7807	0.230
3.8007	0.229
3.8207	0.228
3.8407	0.227
3.8607	0.226
3.8807	0.225
3.9006	0.222
3.9206	0.222
3.9406	0.219
3.9606	0.218
3.9806	0.217
4.0006	0.216
4.0206	0.215
4.0406	0.214
4.0606	0.214
4.0806	0.214
4.1006	0.214
4.1206	0.214
4.1406	0.214
4.1606	0.215
4.1806	0.216
4.2006	0.216
4.2206	0.219
4.2406	0.219
4.2606	0.222
4.2806	0.221
4.3007	0.224
4.3206	0.223
4.3407	0.225
4.3607	0.228
4.3807	0.228
4.4007	0.229
4.4207	0.230
4.4407	0.230
4.4607	0.230
4.4807	0.231
4.5007	0.230
4.5207	0.229
4.5407	0.229
4.5607	0.226
4.5807	0.227
4.6007	0.226
4.6206	0.223
4.6406	0.223
4.6606	0.221
4.6806	0.220
4.7006	0.219
4.7206	0.217
4.7406	0.217
4.7606	0.216
4.7806	0.215
4.8006	0.215
4.8206	0.214
4.8406	0.214
4.8606	0.214
4.8806	0.215
4.9006	0.215
4.9206	0.216
4.9406	0.217
4.9606	0.220
4.9806	0.220
5.0006	0.220
5.0206	0.221
5.0407	0.224
5.0606	0.223
5.0807	0.225
5.1007	0.227
5.1207	0.226
5.1407	0.229
5.1607	0.229
5.1807	0.229
5.2007	0.229
5.2207	0.230
5.2407	0.229
5.2607	0.227
5.2807	0.228
5.3007	0.227
5.3207	0.227
5.3407	0.224
5.3606	0.223
5.3806	0.222
5.4006	0.220
5.4206	0.220
5.4406	0.218
5.4606	0.217
5.4806	0.216
5.5006	0.216
5.5206	0.215
5.5406	0.215
5.5606	0.214
5.5806	0.214
5.6006	0.217
5.6206	0.217
5.6406	0.216
5.6606	0.219
5.6806	0.217
5.7006	0.218
5.7206	0.221
5.7406	0.221
5.7606	0.221
5.7807	0.224
5.8006	0.224
5.8207	0.226
5.8407	0.228
5.8607	0.228
5.8807	0.229
5.9007	0.230
5.9207	0.230
5.9407	0.230
5.9607	0.230
5.9807	0.229
6.0007	0.227
6.0207	0.228
6.0407	0.227
6.0607	0.225
6.0806	0.224
6.1006	0.223
6.1206	0.221
6.1406	0.220
6.1606	0.219
6.1806	0.218
6.2006	0.217
6.2206	0.216
6.2406	0.215
6.2606	0.216
6.2806	0.214
6.3006	0.214
6.3206	0.214
6.3406	0.214
6.3606	0.215
6.3806	0.215
6.4006	0.218
6.4206	0.217
6.4406	0.218
6.4606	0.219
6.4806	0.220
6.5006	0.223
6.5207	0.224
6.5407	0.226
6.5607	0.225
6.5807	0.228
