Tempo	Posicao
0.0206	0.208
0.0406	0.212
0.0606	0.217
0.0806	0.223
0.1007	0.228
0.1207	0.235
0.1407	0.240
0.1607	0.241
0.1807	0.247
0.2007	0.249
0.2207	0.250
0.2407	0.251
0.2607	0.250
0.2807	0.249
0.3007	0.246
0.3207	0.242
0.3407	0.238
0.3607	0.233
0.3807	0.227
0.4006	0.222
0.4206	0.217
0.4406	0.211
0.4606	0.205
0.4806	0.202
0.5006	0.199
0.5206	0.196
0.5406	0.192
0.5606	0.192
0.5806	0.192
0.6006	0.194
0.6206	0.196
0.6406	0.199
0.6606	0.203
0.6806	0.208
0.7006	0.213
0.7206	0.219
0.7407	0.226
0.7607	0.229
0.7807	0.236
0.8007	0.241
0.8207	0.245
0.8407	0.248
0.8607	0.250
0.8807	0.251
0.9007	0.251
0.9207	0.250
0.9407	0.248
0.9607	0.245
0.9807	0.241
1.0007	0.235
1.0207	0.232
1.0407	0.224
1.0606	0.218
1.0806	0.214
1.1006	0.208
1.1206	0.204
1.1406	0.200
1.1606	0.197
1.1806	0.194
1.2006	0.193
1.2206	0.192
1.2406	0.193
1.2606	0.195
1.2806	0.199
1.3006	0.201
1.3206	0.205
1.3406	0.211
1.3606	0.216
1.3806	0.222
1.4007	0.225
1.4207	0.232
1.4407	0.237
1.4607	0.241
1.4807	0.245
1.5007	0.248
1.5207	0.250
1.5407	0.250
1.5607	0.250
1.5807	0.249
1.6007	0.245
1.6207	0.243
1.6407	0.240
1.6607	0.236
1.6807	0.230
1.7006	0.223
1.7206	0.219
1.7406	0.214
1.7606	0.208
1.7806	0.205
1.8006	0.200
1.8206	0.199
1.8406	0.194
1.8606	0.195
1.8806	0.193
1.9006	0.196
1.9206	0.195
1.9406	0.198
1.9606	0.202
1.9806	0.206
2.0006	0.211
2.0206	0.216
2.0406	0.221
2.0607	0.229
2.0807	0.232
2.1007	0.236
2.1207	0.243
2.1407	0.246
2.1607	0.248
2.1807	0.250
2.2007	0.250
2.2207	0.250
2.2407	0.249
2.2607	0.246
2.2807	0.243
2.3007	0.239
2.3207	0.233
2.3407	0.229
2.3606	0.223
2.3806	0.218
2.4006	0.213
2.4206	0.207
2.4406	0.202
2.4606	0.198
2.4806	0.195
2.5006	0.195
2.5206	0.193
2.5406	0.193
2.5606	0.194
2.5806	0.196
2.6006	0.199
2.6206	0.204
2.6406	0.208
2.6606	0.213
2.6806	0.218
2.7006	0.223
2.7207	0.230
2.7407	0.235
2.7607	0.239
2.7807	0.243
2.8007	0.246
2.8207	0.249
2.8407	0.250
2.8607	0.250
2.8807	0.250
2.9007	0.246
2.9207	0.245
2.9407	0.241
2.9607	0.238
2.9807	0.233
3.0007	0.227
3.0206	0.222
3.0406	0.215
3.0606	0.212
3.0806	0.205
3.1006	0.201
3.1206	0.198
3.1406	0.195
3.1606	0.193
3.1806	0.193
3.2006	0.195
3.2206	0.195
3.2406	0.199
3.2606	0.200
3.2806	0.204
3.3006	0.210
3.3206	0.215
3.3406	0.218
3.3607	0.224
3.3807	0.229
3.4007	0.235
3.4207	0.240
3.4407	0.243
3.4607	0.247
3.4807	0.249
3.5007	0.250
3.5207	0.250
3.5407	0.249
3.5607	0.247
3.5807	0.244
3.6007	0.239
3.6207	0.236
3.6407	0.230
3.6607	0.227
3.6806	0.221
3.7006	0.214
3.7206	0.211
3.7406	0.205
3.7606	0.201
3.7806	0.197
3.8006	0.195
3.8206	0.194
3.8406	0.195
3.8606	0.194
3.8806	0.195
3.9006	0.197
3.9206	0.201
3.9406	0.205
3.9606	0.210
3.9806	0.215
4.0006	0.220
4.0207	0.227
4.0407	0.232
4.0607	0.236
4.0807	0.241
4.1007	0.244
4.1207	0.247
4.1407	0.249
4.1607	0.250
4.1807	0.250
4.2007	0.248
4.2207	0.246
4.2407	0.243
4.2607	0.239
4.2807	0.235
4.3007	0.228
4.3207	0.225
4.3406	0.218
4.3606	0.212
4.3806	0.208
4.4006	0.203
4.4206	0.200
4.4406	0.197
4.4606	0.195
4.4806	0.194
4.5006	0.192
4.5206	0.194
4.5406	0.196
4.5606	0.198
4.5806	0.202
4.6006	0.207
4.6206	0.211
4.6406	0.219
4.6606	0.223
4.6807	0.228
4.7007	0.233
4.7207	0.238
4.7407	0.242
4.7607	0.245
4.7807	0.247
4.8007	0.249
4.8207	0.250
4.8407	0.249
4.8607	0.248
4.8807	0.245
4.9007	0.242
4.9207	0.238
4.9407	0.234
4.9607	0.228
4.9806	0.222
5.0006	0.218
5.0206	0.212
5.0406	0.209
5.0606	0.203
5.0806	0.199
5.1006	0.196
5.1206	0.195
5.1406	0.195
5.1606	0.193
5.1806	0.194
5.2006	0.196
5.2206	0.199
5.2406	0.203
5.2606	0.207
5.2806	0.212
5.3006	0.217
5.3207	0.224
5.3407	0.229
5.3607	0.233
5.3807	0.239
5.4007	0.243
5.4207	0.246
5.4407	0.248
5.4607	0.250
5.4807	0.250
5.5007	0.249
5.5207	0.247
5.5407	0.245
5.5607	0.241
5.5807	0.237
5.6007	0.232
5.6207	0.226
5.6406	0.222
5.6606	0.216
5.6806	0.211
5.7006	0.206
5.7206	0.201
5.7406	0.198
5.7606	0.195
5.7806	0.194
5.8006	0.193
5.8206	0.196
5.8406	0.195
5.8606	0.199
5.8806	0.202
5.9006	0.206
5.9206	0.208
5.9406	0.216
5.9606	0.219
5.9807	0.226
6.0007	0.231
6.0207	0.236
6.0407	0.240
6.0607	0.243
6.0807	0.246
6.1007	0.249
6.1207	0.249
6.1407	0.250
6.1607	0.249
6.1807	0.246
6.2007	0.242
6.2207	0.240
6.2407	0.236
6.2607	0.231
6.2807	0.225
6.3006	0.222
6.3206	0.214
6.3406	0.211
6.3606	0.205
6.3806	0.201
6.4006	0.197
6.4206	0.195
6.4406	0.194
6.4606	0.195
6.4806	0.194
6.5006	0.196
6.5206	0.198
6.5406	0.201
6.5606	0.205
6.5806	0.211
6.6006	0.217
6.6206	0.222
6.6407	0.225
6.6607	0.232
6.6807	0.237
6.7007	0.241
6.7207	0.244
6.7407	0.247
6.7607	0.249
6.7807	0.250
6.8007	0.250
6.8207	0.248
6.8407	0.246
6.8607	0.243
6.8807	0.239
6.9007	0.232
6.9207	0.230
6.9407	0.225
6.9606	0.219
6.9806	0.213
7.0006	0.207
7.0206	0.205
7.0406	0.200
7.0606	0.197
7.0806	0.195
7.1006	0.194
7.1206	0.194
7.1406	0.194
7.1606	0.197
7.1806	0.199
7.2006	0.202
7.2206	0.207
7.2406	0.212
7.2606	0.219
7.2806	0.222
7.3007	0.227
7.3207	0.234
7.3407	0.238
7.3607	0.243
7.3807	0.246
7.4007	0.246
7.4207	0.249
7.4407	0.249
7.4607	0.250
7.4807	0.247
7.5007	0.245
7.5207	0.242
7.5407	0.236
7.5607	0.231
7.5807	0.229
7.6006	0.223
7.6206	0.218
7.6406	0.211
7.6606	0.208
7.6806	0.202
7.7006	0.199
7.7206	0.196
7.7406	0.194
7.7606	0.196
7.7806	0.195
7.8006	0.195
7.8206	0.199
7.8406	0.200
7.8606	0.206
7.8806	0.208
7.9006	0.212
7.9206	0.218
7.9406	0.223
7.9607	0.229
7.9807	0.234
8.0007	0.238
8.0207	0.243
8.0407	0.246
8.0607	0.248
8.0807	0.249
8.1007	0.250
8.1207	0.249
8.1407	0.245
8.1607	0.244
8.1807	0.241
8.2007	0.237
8.2207	0.232
8.2407	0.225
8.2606	0.222
8.2806	0.215
8.3006	0.211
8.3206	0.206
8.3406	0.202
8.3606	0.198
8.3806	0.196
8.4006	0.194
8.4206	0.194
8.4406	0.194
8.4606	0.195
8.4806	0.198
8.5006	0.201
8.5206	0.205
8.5406	0.211
8.5606	0.216
8.5806	0.221
8.6007	0.227
8.6207	0.231
8.6407	0.236
8.6607	0.240
8.6807	0.244
8.7007	0.246
8.7207	0.248
8.7407	0.249
8.7607	0.250
8.7807	0.248
8.8007	0.246
8.8207	0.243
8.8407	0.239
8.8607	0.235
8.8807	0.230
8.9007	0.226
8.9206	0.218
8.9406	0.213
8.9606	0.209
8.9806	0.205
9.0006	0.202
9.0206	0.198
9.0406	0.195
9.0606	0.194
9.0806	0.194
9.1006	0.195
9.1206	0.198
9.1406	0.199
9.1606	0.202
9.1806	0.206
9.2006	0.210
9.2206	0.216
9.2406	0.223
9.2607	0.226
9.2807	0.232
9.3007	0.237
9.3207	0.241
9.3407	0.244
9.3607	0.246
9.3807	0.249
9.4007	0.249
9.4207	0.249
9.4407	0.247
9.4607	0.245
9.4807	0.243
9.5007	0.238
9.5207	0.234
9.5407	0.229
9.5606	0.223
9.5806	0.219
9.6006	0.212
9.6206	0.208
9.6406	0.206
9.6606	0.201
9.6806	0.199
9.7006	0.195
9.7206	0.194
9.7406	0.194
9.7606	0.195
9.7806	0.199
9.8006	0.199
9.8206	0.203
9.8406	0.207
9.8606	0.212
9.8806	0.218
9.9006	0.222
9.9207	0.229
9.9407	0.232
9.9607	0.238
9.9807	0.242
10.0007	0.244
10.0207	0.247
10.0407	0.249
10.0607	0.250
10.0807	0.249
10.1007	0.247
10.1207	0.245
10.1407	0.241
10.1607	0.238
10.1807	0.232
10.2007	0.228
10.2206	0.222
10.2406	0.218
10.2606	0.211
10.2806	0.207
10.3006	0.203
10.3206	0.199
10.3406	0.197
10.3606	0.195
10.3806	0.194
10.4006	0.194
10.4206	0.195
10.4406	0.197
10.4606	0.201
10.4806	0.206
10.5006	0.210
10.5206	0.213
10.5406	0.218
10.5607	0.225
10.5807	0.230
10.6007	0.234
10.6207	0.239
10.6407	0.243
10.6607	0.245
10.6807	0.247
10.7007	0.249
10.7207	0.249
10.7407	0.248
10.7607	0.246
10.7807	0.244
10.8007	0.240
10.8207	0.236
10.8407	0.232
10.8607	0.225
10.8806	0.222
10.9006	0.215
10.9206	0.210
10.9406	0.208
10.9606	0.202
10.9806	0.198
11.0006	0.197
11.0206	0.195
11.0406	0.194
11.0606	0.195
11.0806	0.196
11.1006	0.198
11.1206	0.201
11.1406	0.205
11.1606	0.210
11.1806	0.215
11.2006	0.221
11.2207	0.226
11.2407	0.229
11.2607	0.236
11.2807	0.240
11.3007	0.243
11.3207	0.246
11.3407	0.248
11.3607	0.249
11.3807	0.249
11.4007	0.247
11.4207	0.246
11.4407	0.243
11.4607	0.239
11.4807	0.233
11.5007	0.230
11.5207	0.225
11.5406	0.220
11.5606	0.216
11.5806	0.208
11.6006	0.205
11.6206	0.201
11.6406	0.198
11.6606	0.195
11.6806	0.194
11.7006	0.194
11.7206	0.195
11.7406	0.198
11.7606	0.199
11.7806	0.202
11.8006	0.208
11.8206	0.213
11.8406	0.218
11.8606	0.221
11.8807	0.225
11.9007	0.233
11.9207	0.237
11.9407	0.241
11.9607	0.244
11.9807	0.246
12.0007	0.249
12.0207	0.249
12.0407	0.246
12.0607	0.247
12.0807	0.245
12.1007	0.242
12.1207	0.238
12.1407	0.232
12.1607	0.229
12.1806	0.222
12.2006	0.219
12.2206	0.212
12.2406	0.209
12.2606	0.205
12.2806	0.200
12.3006	0.198
12.3206	0.195
12.3406	0.194
12.3606	0.194
12.3806	0.195
12.4006	0.197
12.4206	0.200
12.4406	0.206
12.4606	0.209
12.4806	0.212
12.5006	0.219
12.5206	0.221
12.5407	0.229
12.5607	0.232
12.5807	0.238
12.6007	0.241
12.6207	0.244
12.6407	0.247
12.6607	0.248
12.6807	0.249
12.7007	0.248
12.7207	0.246
12.7407	0.243
12.7607	0.241
12.7807	0.237
12.8007	0.233
12.8207	0.228
12.8406	0.222
12.8606	0.218
12.8806	0.213
12.9006	0.207
12.9206	0.203
12.9406	0.200
12.9606	0.198
12.9806	0.195
13.0006	0.194
13.0206	0.195
13.0406	0.196
13.0606	0.198
13.0806	0.201
13.1006	0.204
13.1206	0.208
13.1406	0.213
