Tempo	Posicao
0.0207	0.248
0.0407	0.249
0.0607	0.248
0.0807	0.247
0.1007	0.246
0.1207	0.243
0.1407	0.242
0.1607	0.240
0.1807	0.238
0.2007	0.235
0.2207	0.232
0.2407	0.229
0.2607	0.225
0.2806	0.222
0.3006	0.217
0.3206	0.214
0.3406	0.212
0.3606	0.210
0.3806	0.206
0.4006	0.203
0.4206	0.201
0.4406	0.199
0.4606	0.197
0.4806	0.196
0.5006	0.195
0.5206	0.195
0.5406	0.195
0.5606	0.195
0.5806	0.196
0.6006	0.197
0.6206	0.198
0.6406	0.200
0.6606	0.202
0.6806	0.205
0.7006	0.207
0.7206	0.211
0.7406	0.213
0.7606	0.217
0.7806	0.219
0.8007	0.225
0.8207	0.228
0.8407	0.231
0.8607	0.235
0.8807	0.238
0.9007	0.240
0.9207	0.242
0.9407	0.244
0.9607	0.246
0.9807	0.247
1.0007	0.249
1.0207	0.249
1.0407	0.249
1.0607	0.249
1.0807	0.248
1.1007	0.248
1.1207	0.246
1.1407	0.245
1.1607	0.243
1.1807	0.240
1.2007	0.239
1.2207	0.236
1.2407	0.233
1.2607	0.230
1.2807	0.228
1.3006	0.223
1.3206	0.219
1.3406	0.216
1.3606	0.213
1.3806	0.211
1.4006	0.208
1.4206	0.205
1.4406	0.203
1.4606	0.202
1.4806	0.200
1.5006	0.199
1.5206	0.198
1.5406	0.197
1.5606	0.197
1.5806	0.197
1.6006	0.197
1.6206	0.198
1.6406	0.199
1.6606	0.200
1.6806	0.202
1.7006	0.204
1.7206	0.206
1.7406	0.208
1.7606	0.211
1.7806	0.213
1.8006	0.217
1.8206	0.220
1.8407	0.224
1.8607	0.227
1.8807	0.227
1.9007	0.232
1.9207	0.235
1.9407	0.238
1.9607	0.240
1.9807	0.242
2.0007	0.244
2.0207	0.245
2.0407	0.246
2.0607	0.247
2.0807	0.248
2.1007	0.248
2.1207	0.247
2.1407	0.246
2.1607	0.246
2.1807	0.245
2.2007	0.243
2.2207	0.242
2.2407	0.239
2.2607	0.237
2.2807	0.235
2.3007	0.232
2.3207	0.229
2.3407	0.224
2.3606	0.221
2.3806	0.218
2.4006	0.216
2.4206	0.212
2.4406	0.210
2.4606	0.207
2.4806	0.205
2.5006	0.203
2.5206	0.201
2.5406	0.199
2.5606	0.198
2.5806	0.197
2.6006	0.196
2.6206	0.196
2.6406	0.196
2.6606	0.196
2.6806	0.197
2.7006	0.198
2.7206	0.200
2.7406	0.202
2.7606	0.204
2.7806	0.206
2.8006	0.209
2.8206	0.212
2.8406	0.215
2.8606	0.220
2.8806	0.223
2.9007	0.225
2.9207	0.227
2.9407	0.232
2.9607	0.233
2.9807	0.239
3.0007	0.241
3.0207	0.243
3.0407	0.245
3.0607	0.246
3.0807	0.248
3.1007	0.249
3.1207	0.249
3.1407	0.249
3.1607	0.249
3.1807	0.249
3.2007	0.247
3.2207	0.246
3.2407	0.244
3.2607	0.242
3.2807	0.239
3.3007	0.238
3.3207	0.234
3.3407	0.231
3.3607	0.226
3.3806	0.223
3.4006	0.220
3.4206	0.217
3.4406	0.214
3.4606	0.211
3.4806	0.208
3.5006	0.206
3.5206	0.203
3.5406	0.201
3.5606	0.200
3.5806	0.198
3.6006	0.197
3.6206	0.197
3.6406	0.196
3.6606	0.196
3.6806	0.197
3.7006	0.197
3.7206	0.198
3.7406	0.200
3.7606	0.201
3.7806	0.203
3.8006	0.206
3.8206	0.211
3.8406	0.211
3.8606	0.213
3.8806	0.217
3.9006	0.221
3.9207	0.225
3.9407	0.227
3.9607	0.228
3.9807	0.233
4.0007	0.235
4.0207	0.238
4.0407	0.240
4.0607	0.242
4.0807	0.243
4.1007	0.245
4.1207	0.246
4.1407	0.246
4.1607	0.247
4.1807	0.247
4.2007	0.246
4.2207	0.246
4.2407	0.245
4.2607	0.244
4.2807	0.242
4.3007	0.240
4.3207	0.239
4.3407	0.236
4.3607	0.234
4.3807	0.231
4.4007	0.228
4.4206	0.224
4.4406	0.221
4.4606	0.218
4.4806	0.216
4.5006	0.213
4.5206	0.210
4.5406	0.208
4.5606	0.206
4.5806	0.204
4.6006	0.202
4.6206	0.200
4.6406	0.199
4.6606	0.198
4.6806	0.198
4.7006	0.198
4.7206	0.198
4.7406	0.198
4.7606	0.199
4.7806	0.200
4.8006	0.201
4.8206	0.203
4.8406	0.205
4.8606	0.209
4.8806	0.210
4.9006	0.214
4.9206	0.214
4.9406	0.219
4.9606	0.220
4.9807	0.225
5.0007	0.228
5.0207	0.229
5.0407	0.233
5.0607	0.236
5.0807	0.239
5.1007	0.241
5.1207	0.243
5.1407	0.244
5.1607	0.245
5.1807	0.246
5.2007	0.247
5.2207	0.248
5.2407	0.248
5.2607	0.247
5.2807	0.246
5.3007	0.245
5.3207	0.244
5.3407	0.242
5.3607	0.239
5.3807	0.238
5.4007	0.235
5.4207	0.233
5.4407	0.229
5.4607	0.225
5.4806	0.222
5.5006	0.219
5.5206	0.216
5.5406	0.213
5.5606	0.210
5.5806	0.207
5.6006	0.205
5.6206	0.203
5.6406	0.201
5.6606	0.200
5.6806	0.198
5.7006	0.197
5.7206	0.197
5.7406	0.196
5.7606	0.197
5.7806	0.197
5.8006	0.198
5.8206	0.199
5.8406	0.201
5.8606	0.203
5.8806	0.205
5.9006	0.207
5.9206	0.210
5.9406	0.214
5.9606	0.217
5.9806	0.220
6.0006	0.221
6.0207	0.224
6.0407	0.227
6.0607	0.232
6.0807	0.235
6.1007	0.237
6.1207	0.239
6.1407	0.241
6.1607	0.243
6.1807	0.245
6.2007	0.246
6.2207	0.246
6.2407	0.247
6.2607	0.247
6.2807	0.247
6.3007	0.246
6.3207	0.245
6.3407	0.244
6.3607	0.243
6.3807	0.241
6.4007	0.236
6.4207	0.236
6.4407	0.234
6.4607	0.232
6.4807	0.228
6.5006	0.224
6.5206	0.221
6.5406	0.218
6.5606	0.215
6.5806	0.213
6.6006	0.210
6.6206	0.208
6.6406	0.206
6.6606	0.204
6.6806	0.202
6.7006	0.201
6.7206	0.200
6.7406	0.199
6.7606	0.198
6.7806	0.198
6.8006	0.199
6.8206	0.199
6.8406	0.200
6.8606	0.201
6.8806	0.202
6.9006	0.204
6.9206	0.206
6.9406	0.210
6.9606	0.210
6.9806	0.213
7.0006	0.215
7.0206	0.219
7.0406	0.222
7.0606	0.223
7.0807	0.227
7.1007	0.230
7.1207	0.232
7.1407	0.235
7.1607	0.237
7.1807	0.239
7.2007	0.241
7.2207	0.242
7.2407	0.242
7.2607	0.244
7.2807	0.245
7.3007	0.245
7.3207	0.246
7.3407	0.245
7.3607	0.245
7.3807	0.245
7.4007	0.243
7.4207	0.242
7.4407	0.240
7.4607	0.238
7.4807	0.235
7.5007	0.231
7.5207	0.231
7.5407	0.228
7.5607	0.225
7.5806	0.222
7.6006	0.220
7.6206	0.215
7.6406	0.212
7.6606	0.209
7.6806	0.207
7.7006	0.205
7.7206	0.203
7.7406	0.202
7.7606	0.200
7.7806	0.199
7.8006	0.198
7.8206	0.198
7.8406	0.197
7.8606	0.198
7.8806	0.198
7.9006	0.199
7.9206	0.200
7.9406	0.202
7.9606	0.204
7.9806	0.206
8.0006	0.208
8.0206	0.211
8.0406	0.216
8.0606	0.216
8.0806	0.221
8.1006	0.222
8.1207	0.227
8.1407	0.230
8.1607	0.233
8.1807	0.234
8.2007	0.238
8.2207	0.240
8.2407	0.243
8.2607	0.244
8.2807	0.245
8.3007	0.246
8.3207	0.247
8.3407	0.248
8.3607	0.248
8.3807	0.247
8.4007	0.246
8.4207	0.245
8.4407	0.243
8.4607	0.242
8.4807	0.240
8.5007	0.238
8.5207	0.235
8.5407	0.233
8.5607	0.230
8.5807	0.227
8.6006	0.223
8.6206	0.221
8.6406	0.217
8.6606	0.215
8.6806	0.213
8.7006	0.211
8.7206	0.206
8.7406	0.204
8.7606	0.202
8.7806	0.201
8.8006	0.199
8.8206	0.199
8.8406	0.198
8.8606	0.198
8.8806	0.198
8.9006	0.198
8.9206	0.199
8.9406	0.200
8.9606	0.202
8.9806	0.204
9.0006	0.205
9.0206	0.207
9.0406	0.210
9.0606	0.213
9.0806	0.217
9.1006	0.219
9.1206	0.220
9.1406	0.223
9.1607	0.228
9.1807	0.229
9.2007	0.231
9.2207	0.233
9.2407	0.237
9.2607	0.239
9.2807	0.241
9.3007	0.242
9.3207	0.243
9.3407	0.245
9.3607	0.245
9.3807	0.245
9.4007	0.245
9.4207	0.245
9.4407	0.245
9.4607	0.243
9.4807	0.242
9.5007	0.241
9.5207	0.240
9.5407	0.237
9.5607	0.236
9.5807	0.230
9.6007	0.230
9.6207	0.228
9.6406	0.223
9.6606	0.221
9.6806	0.218
9.7006	0.217
9.7206	0.215
9.7406	0.210
9.7606	0.208
9.7806	0.206
9.8006	0.204
9.8206	0.203
9.8406	0.201
9.8606	0.200
9.8806	0.199
9.9006	0.199
9.9206	0.199
9.9406	0.199
9.9606	0.199
9.9806	0.200
10.0006	0.201
10.0206	0.202
10.0406	0.204
10.0606	0.206
10.0806	0.208
10.1006	0.211
10.1206	0.213
10.1406	0.216
10.1606	0.218
10.1806	0.221
10.2007	0.224
10.2207	0.229
10.2407	0.231
10.2607	0.234
10.2807	0.236
10.3007	0.238
10.3207	0.240
10.3407	0.242
10.3607	0.244
10.3807	0.245
10.4007	0.246
10.4207	0.246
10.4407	0.246
10.4607	0.246
10.4807	0.246
10.5007	0.245
10.5207	0.244
10.5407	0.243
10.5607	0.241
10.5807	0.239
10.6007	0.237
10.6207	0.235
10.6407	0.232
10.6607	0.228
10.6806	0.224
10.7006	0.221
10.7206	0.218
10.7406	0.215
10.7606	0.213
10.7806	0.210
10.8006	0.207
10.8206	0.205
10.8406	0.203
10.8606	0.201
10.8806	0.200
10.9006	0.199
10.9206	0.198
10.9406	0.197
10.9606	0.197
10.9806	0.198
11.0006	0.198
11.0206	0.199
11.0406	0.201
11.0606	0.202
11.0806	0.204
11.1006	0.206
11.1206	0.209
11.1406	0.211
11.1606	0.214
11.1806	0.217
11.2006	0.220
11.2207	0.224
11.2407	0.228
11.2607	0.228
11.2807	0.232
11.3007	0.235
11.3207	0.238
11.3407	0.239
11.3607	0.242
11.3807	0.243
11.4007	0.244
11.4207	0.245
11.4407	0.246
11.4607	0.245
11.4807	0.246
11.5007	0.246
11.5207	0.245
11.5407	0.244
11.5607	0.243
11.5807	0.241
11.6007	0.239
11.6207	0.237
11.6407	0.235
11.6607	0.230
11.6807	0.229
11.7007	0.227
11.7207	0.225
11.7406	0.220
11.7606	0.217
11.7806	0.215
11.8006	0.212
11.8206	0.210
11.8406	0.208
11.8606	0.206
11.8806	0.204
11.9006	0.203
11.9206	0.201
11.9406	0.201
11.9606	0.200
11.9806	0.200
12.0006	0.199
12.0206	0.200
12.0406	0.200
12.0606	0.201
12.0806	0.202
12.1006	0.203
12.1206	0.205
12.1406	0.207
12.1606	0.209
12.1806	0.211
12.2006	0.214
12.2206	0.218
12.2406	0.221
12.2606	0.223
12.2807	0.225
12.3007	0.228
12.3207	0.231
12.3407	0.233
12.3607	0.236
12.3807	0.238
12.4007	0.239
12.4207	0.241
12.4407	0.242
12.4607	0.243
12.4807	0.245
12.5007	0.245
12.5207	0.245
12.5407	0.245
12.5607	0.245
12.5807	0.244
12.6007	0.243
12.6207	0.241
12.6407	0.240
12.6607	0.239
12.6807	0.235
12.7007	0.234
12.7207	0.232
12.7407	0.228
12.7607	0.225
12.7807	0.224
12.8006	0.221
12.8206	0.216
12.8406	0.214
12.8606	0.213
12.8806	0.209
12.9006	0.207
12.9206	0.205
12.9406	0.203
12.9606	0.201
12.9806	0.200
13.0006	0.199
13.0206	0.198
13.0406	0.198
13.0606	0.198
13.0806	0.199
13.1006	0.199
13.1206	0.201
13.1406	0.202
13.1606	0.204
13.1806	0.206
13.2006	0.208
13.2206	0.212
13.2406	0.213
13.2606	0.216
13.2806	0.220
13.3006	0.223
13.3207	0.226
13.3407	0.229
13.3607	0.232
13.3807	0.234
13.4007	0.236
13.4207	0.239
13.4407	0.241
13.4607	0.242
13.4807	0.244
13.5007	0.245
13.5207	0.246
13.5407	0.246
13.5607	0.246
13.5807	0.246
13.6007	0.245
13.6207	0.244
13.6407	0.243
13.6607	0.242
13.6807	0.240
13.7007	0.238
13.7207	0.235
13.7407	0.231
13.7607	0.231
13.7807	0.228
13.8006	0.223
13.8206	0.221
13.8406	0.218
13.8606	0.215
13.8806	0.213
13.9006	0.210
13.9206	0.208
13.9406	0.206
13.9606	0.204
13.9806	0.202
14.0006	0.201
14.0206	0.200
14.0406	0.200
14.0606	0.199
14.0806	0.199
14.1006	0.199
14.1206	0.200
14.1406	0.201
14.1606	0.202
14.1806	0.204
14.2006	0.205
14.2206	0.207
14.2406	0.209
14.2606	0.212
14.2806	0.214
14.3006	0.218
14.3206	0.221
14.3406	0.224
14.3607	0.226
14.3807	0.229
14.4007	0.231
14.4207	0.234
14.4407	0.235
14.4607	0.238
14.4807	0.239
14.5007	0.241
14.5207	0.242
14.5407	0.243
14.5607	0.244
14.5807	0.244
14.6007	0.244
14.6207	0.244
14.6407	0.244
14.6607	0.241
14.6807	0.242
14.7007	0.238
14.7207	0.239
14.7407	0.238
14.7607	0.236
14.7807	0.233
14.8007	0.232
14.8207	0.227
14.8407	0.224
14.8607	0.224
14.8806	0.219
14.9006	0.217
14.9206	0.214
14.9406	0.212
14.9606	0.210
14.9806	0.208
15.0006	0.206
15.0206	0.204
15.0406	0.203
15.0606	0.202
15.0806	0.201
15.1006	0.200
15.1206	0.200
15.1406	0.200
15.1606	0.200
15.1806	0.201
15.2006	0.204
15.2206	0.203
15.2406	0.205
15.2606	0.208
15.2806	0.208
15.3006	0.211
15.3206	0.214
15.3406	0.215
15.3606	0.219
15.3806	0.222
15.4007	0.225
15.4207	0.227
15.4407	0.227
15.4607	0.232
15.4807	0.235
15.5007	0.234
15.5207	0.239
15.5407	0.238
15.5607	0.242
15.5807	0.243
15.6007	0.244
15.6207	0.245
15.6407	0.245
15.6607	0.246
15.6807	0.245
15.7007	0.244
15.7207	0.243
15.7407	0.242
15.7607	0.241
15.7807	0.238
15.8007	0.237
15.8207	0.234
15.8407	0.232
15.8607	0.229
15.8807	0.227
15.9006	0.222
15.9206	0.219
15.9406	0.217
15.9606	0.214
15.9806	0.212
16.0006	0.209
16.0206	0.207
16.0406	0.205
16.0606	0.203
16.0806	0.202
16.1006	0.201
16.1206	0.200
16.1406	0.200
16.1606	0.199
16.1806	0.199
16.2006	0.201
16.2206	0.201
16.2406	0.202
16.2606	0.203
16.2806	0.205
16.3006	0.206
16.3206	0.209
16.3406	0.211
16.3606	0.213
16.3806	0.216
16.4006	0.219
16.4206	0.223
16.4406	0.223
16.4607	0.228
16.4807	0.231
16.5007	0.231
16.5207	0.235
16.5407	0.238
16.5607	0.239
16.5807	0.241
16.6007	0.242
16.6207	0.243
16.6407	0.244
16.6607	0.244
16.6807	0.244
16.7007	0.244
16.7207	0.243
16.7407	0.241
16.7607	0.242
16.7807	0.240
16.8007	0.237
16.8207	0.237
16.8407	0.235
16.8607	0.232
16.8807	0.231
16.9007	0.227
16.9207	0.224
16.9407	0.224
16.9606	0.219
16.9806	0.217
17.0006	0.214
17.0206	0.212
17.0406	0.210
17.0606	0.208
17.0806	0.206
17.1006	0.205
17.1206	0.203
