tempo,intensidade
0.0000,0.0411
0.0250,0.0361
0.0500,0.0439
0.0750,0.0440
0.1000,0.0393
0.1250,0.0370
0.1500,0.0446
0.1750,0.0438
0.2000,0.0377
0.2250,0.0371
0.2500,0.0416
0.2750,0.0426
0.3000,0.0373
0.3250,0.0374
0.3500,0.0427
0.3750,0.0415
0.4000,0.0365
0.4250,0.0388
0.4500,0.0434
0.4750,0.0391
0.5000,0.0365
0.5250,0.0399
0.5500,0.0443
0.5750,0.0373
0.6000,0.0367
0.6250,0.0410
0.6500,0.0439
0.6750,0.0362
0.7000,0.0376
0.7250,0.0425
0.7500,0.0438
0.7750,0.0393
0.8000,0.0382
0.8250,0.0427
0.8500,0.0430
0.8750,0.0378
0.9000,0.0390
0.9250,0.0436
0.9500,0.0423
0.9750,0.0364
1.0000,0.0397
1.0250,0.0441
1.0500,0.0409
1.0750,0.0359
1.1000,0.0411
1.1250,0.0438
1.1500,0.0399
1.1750,0.0356
1.2000,0.0428
1.2250,0.0427
1.2500,0.0384
1.2750,0.0357
1.3000,0.0435
1.3250,0.0426
1.3500,0.0358
1.3750,0.0363
1.4000,0.0437
1.4250,0.0418
1.4500,0.0360
1.4750,0.0373
1.5000,0.0423
1.5250,0.0394
1.5500,0.0359
1.5750,0.0383
1.6000,0.0432
1.6250,0.0377
1.6500,0.0357
1.6750,0.0399
1.7000,0.0438
1.7250,0.0368
1.7500,0.0367
1.7750,0.0408
1.8000,0.0444
1.8250,0.0361
1.8500,0.0375
1.8750,0.0423
1.9000,0.0440
1.9250,0.0357
1.9500,0.0382
1.9750,0.0433
2.0000,0.0432
2.0250,0.0376
2.0500,0.0392
2.0750,0.0434
2.1000,0.0423
2.1250,0.0368
2.1500,0.0404
2.1750,0.0445
2.2000,0.0409
2.2250,0.0365
2.2500,0.0415
2.2750,0.0441
2.3000,0.0398
2.3250,0.0360
2.3500,0.0432
2.3750,0.0436
2.4000,0.0379
2.4250,0.0361
2.4500,0.0438
2.4750,0.0425
2.5000,0.0363
2.5250,0.0364
2.5500,0.0438
2.5750,0.0409
2.6000,0.0357
2.6250,0.0374
2.6500,0.0440
2.6750,0.0396
2.7000,0.0356
2.7250,0.0385
2.7500,0.0432
2.7750,0.0375
2.8000,0.0360
2.8250,0.0391
2.8500,0.0439
2.8750,0.0365
2.9000,0.0361
2.9250,0.0405
2.9500,0.0436
2.9750,0.0355
3.0000,0.0372
3.0250,0.0419
3.0500,0.0427
3.0750,0.0353
3.1000,0.0378
3.1250,0.0429
3.1500,0.0426
3.1750,0.0352
3.2000,0.0394
3.2250,0.0436
3.2500,0.0414
3.2750,0.0360
3.3000,0.0399
3.3250,0.0435
3.3500,0.0398
3.3750,0.0361
3.4000,0.0418
3.4250,0.0425
3.4500,0.0382
3.4750,0.0352
3.5000,0.0431
3.5250,0.0427
3.5500,0.0367
3.5750,0.0357
3.6000,0.0429
3.6250,0.0410
3.6500,0.0358
3.6750,0.0364
3.7000,0.0430
3.7250,0.0400
3.7500,0.0357
3.7750,0.0375
3.8000,0.0430
3.8250,0.0385
3.8500,0.0349
3.8750,0.0387
3.9000,0.0428
3.9250,0.0368
3.9500,0.0359
3.9750,0.0399
4.0000,0.0430
4.0250,0.0360
4.0500,0.0368
4.0750,0.0403
4.1000,0.0430
4.1250,0.0351
4.1500,0.0376
4.1750,0.0426
4.2000,0.0428
4.2250,0.0356
4.2500,0.0381
4.2750,0.0433
4.3000,0.0425
4.3250,0.0357
4.3500,0.0393
4.3750,0.0434
4.4000,0.0413
4.4250,0.0363
4.4500,0.0407
4.4750,0.0438
4.5000,0.0402
4.5250,0.0376
4.5500,0.0417
4.5750,0.0428
4.6000,0.0381
4.6250,0.0356
4.6500,0.0423
4.6750,0.0428
4.7000,0.0368
4.7250,0.0361
4.7500,0.0432
4.7750,0.0411
4.8000,0.0356
4.8250,0.0360
4.8500,0.0437
4.8750,0.0407
4.9000,0.0359
4.9250,0.0373
4.9500,0.0434
4.9750,0.0393
5.0000,0.0353
5.0250,0.0378
5.0500,0.0424
5.0750,0.0376
5.1000,0.0350
5.1250,0.0390
5.1500,0.0415
5.1750,0.0355
5.2000,0.0354
5.2250,0.0403
5.2500,0.0434
5.2750,0.0354
5.3000,0.0369
5.3250,0.0415
5.3500,0.0424
5.3750,0.0352
5.4000,0.0373
5.4250,0.0413
5.4500,0.0427
5.4750,0.0350
5.5000,0.0386
5.5250,0.0426
5.5500,0.0416
5.5750,0.0355
5.6000,0.0398
5.6250,0.0433
5.6500,0.0401
5.6750,0.0359
5.7000,0.0412
5.7250,0.0429
5.7500,0.0394
5.7750,0.0371
5.8000,0.0425
5.8250,0.0429
5.8500,0.0366
5.8750,0.0377
5.9000,0.0424
5.9250,0.0414
5.9500,0.0360
5.9750,0.0359
6.0000,0.0434
6.0250,0.0402
6.0500,0.0355
6.0750,0.0369
6.1000,0.0435
6.1250,0.0391
6.1500,0.0354
6.1750,0.0382
6.2000,0.0425
