tempo,intensidade
0.0000,0.0410
0.2000,0.0404
0.4000,0.0395
0.6000,0.0403
0.8000,0.0414
1.0000,0.0396
1.2000,0.0402
1.4000,0.0408
1.6000,0.0405
1.8000,0.0395
2.0000,0.0404
2.2000,0.0409
2.4000,0.0395
2.6000,0.0393
2.8000,0.0407
3.0000,0.0406
3.2000,0.0390
3.4000,0.0398
3.6000,0.0405
3.8000,0.0398
4.0000,0.0393
4.2000,0.0403
4.4000,0.0397
4.6000,0.0392
4.8000,0.0391
5.0000,0.0402
5.2000,0.0392
5.4000,0.0387
5.6000,0.0392
5.8000,0.0400
6.0000,0.0385
6.2000,0.0388
6.4000,0.0398
6.6000,0.0398
6.8000,0.0384
7.0000,0.0394
7.2000,0.0401
7.4000,0.0390
7.6000,0.0385
7.8000,0.0399
8.0000,0.0401
8.2000,0.0389
8.4000,0.0390
8.6000,0.0401
8.8000,0.0403
9.0000,0.0387
9.2000,0.0393
9.4000,0.0404
9.6000,0.0396
9.8000,0.0384
10.0000,0.0400
10.2000,0.0397
10.4000,0.0394
10.6000,0.0389
10.8000,0.0405
11.0000,0.0398
11.2000,0.0390
11.4000,0.0399
11.6000,0.0410
11.8000,0.0395
12.0000,0.0392
12.2000,0.0408
12.4000,0.0408
12.6000,0.0398
12.8000,0.0402
13.0000,0.0417
13.2000,0.0404
13.4000,0.0412
13.6000,0.0417
13.8000,0.0411
14.0000,0.0410
14.2000,0.0427
14.4000,0.0424
14.6000,0.0411
14.8000,0.0429
15.0000,0.0418
15.2000,0.0417
15.4000,0.0430
15.6000,0.0426
15.8000,0.0421
16.0000,0.0441
16.2000,0.0434
16.4000,0.0426
16.6000,0.0447
16.8000,0.0429
17.0000,0.0430
17.2000,0.0452
17.4000,0.0433
17.6000,0.0446
17.8000,0.0456
18.0000,0.0436
18.2000,0.0452
18.4000,0.0447
18.6000,0.0443
18.8000,0.0464
19.0000,0.0448
19.2000,0.0457
19.4000,0.0460
19.6000,0.0450
19.8000,0.0464
20.0000,0.0460
20.2000,0.0460
20.4000,0.0472
20.6000,0.0457
20.8000,0.0471
21.0000,0.0466
21.2000,0.0460
21.4000,0.0478
21.6000,0.0461
21.8000,0.0473
22.0000,0.0471
22.2000,0.0462
22.4000,0.0481
22.6000,0.0463
22.8000,0.0476
23.0000,0.0485
23.2000,0.0463
23.4000,0.0484
23.6000,0.0466
23.8000,0.0467
24.0000,0.0486
24.2000,0.0463
24.4000,0.0482
24.6000,0.0464
24.8000,0.0464
25.0000,0.0482
25.2000,0.0462
25.4000,0.0479
25.6000,0.0475
25.8000,0.0458
26.0000,0.0476
26.2000,0.0455
26.4000,0.0457
26.6000,0.0472
26.8000,0.0452
27.0000,0.0468
27.2000,0.0447
27.4000,0.0447
27.6000,0.0465
27.8000,0.0441
28.0000,0.0458
28.2000,0.0458
28.4000,0.0436
28.6000,0.0455
28.8000,0.0433
29.0000,0.0428
29.2000,0.0446
29.4000,0.0429
29.6000,0.0434
29.8000,0.0434
30.0000,0.0421
30.2000,0.0426
30.4000,0.0428
30.6000,0.0412
30.8000,0.0416
31.0000,0.0425
31.2000,0.0407
31.4000,0.0414
31.6000,0.0421
31.8000,0.0405
32.0000,0.0403
32.2000,0.0416
32.4000,0.0408
32.6000,0.0394
32.8000,0.0405
33.0000,0.0403
33.2000,0.0390
33.4000,0.0391
33.6000,0.0404
33.8000,0.0390
34.0000,0.0387
34.2000,0.0394
34.4000,0.0399
34.6000,0.0385
34.8000,0.0383
35.0000,0.0398
35.2000,0.0397
35.4000,0.0389
35.6000,0.0390
35.8000,0.0406
36.0000,0.0393
36.2000,0.0398
36.4000,0.0405
36.6000,0.0407
36.8000,0.0397
37.0000,0.0412
37.2000,0.0419
37.4000,0.0406
37.6000,0.0417
37.8000,0.0427
38.0000,0.0415
38.2000,0.0422
38.4000,0.0441
38.6000,0.0427
38.8000,0.0448
39.0000,0.0453
39.2000,0.0441
39.4000,0.0467
39.6000,0.0450
39.8000,0.0456
40.0000,0.0482
40.2000,0.0468
40.4000,0.0495
40.6000,0.0496
40.8000,0.0488
41.0000,0.0515
41.2000,0.0502
41.4000,0.0533
41.6000,0.0531
41.8000,0.0529
42.0000,0.0550
42.2000,0.0544
42.4000,0.0566
42.6000,0.0557
42.8000,0.0585
43.0000,0.0571
43.2000,0.0603
43.4000,0.0598
43.6000,0.0605
43.8000,0.0610
44.0000,0.0633
44.2000,0.0638
44.4000,0.0632
44.6000,0.0654
44.8000,0.0658
45.0000,0.0659
45.2000,0.0661
45.4000,0.0685
45.6000,0.0691
45.8000,0.0692
46.0000,0.0718
46.2000,0.0718
46.4000,0.0724
46.6000,0.0721
46.8000,0.0747
47.0000,0.0739
47.2000,0.0750
47.4000,0.0741
47.6000,0.0775
47.8000,0.0758
48.0000,0.0782
48.2000,0.0762
48.4000,0.0785
48.6000,0.0786
48.8000,0.0773
49.0000,0.0785
49.2000,0.0783
49.4000,0.0807
49.6000,0.0786
49.8000,0.0799
50.0000,0.0788
50.2000,0.0806
50.4000,0.0813
50.6000,0.0790
50.8000,0.0805
51.0000,0.0784
51.2000,0.0805
51.4000,0.0794
51.6000,0.0780
51.8000,0.0800
52.0000,0.0779
52.2000,0.0792
52.4000,0.0766
52.6000,0.0777
52.8000,0.0770
53.0000,0.0775
53.2000,0.0753
53.4000,0.0744
53.6000,0.0753
53.8000,0.0744
54.0000,0.0728
54.2000,0.0710
54.4000,0.0721
54.6000,0.0686
54.8000,0.0694
55.0000,0.0674
55.2000,0.0686
55.4000,0.0652
55.6000,0.0666
55.8000,0.0641
56.0000,0.0644
56.2000,0.0615
56.4000,0.0627
56.6000,0.0609
56.8000,0.0587
57.0000,0.0579
57.2000,0.0570
57.4000,0.0551
57.6000,0.0538
57.8000,0.0549
58.0000,0.0517
58.2000,0.0528
58.4000,0.0517
58.6000,0.0494
58.8000,0.0500
59.0000,0.0472
59.2000,0.0482
59.4000,0.0469
59.6000,0.0452
59.8000,0.0459
60.0000,0.0438
60.2000,0.0438
60.4000,0.0448
60.6000,0.0423
60.8000,0.0435
61.0000,0.0440
61.2000,0.0419
61.4000,0.0431
61.6000,0.0435
61.8000,0.0424
62.0000,0.0435
62.2000,0.0446
62.4000,0.0440
62.6000,0.0466
62.8000,0.0465
63.0000,0.0462
63.2000,0.0492
63.4000,0.0489
63.6000,0.0505
63.8000,0.0530
64.0000,0.0538
64.2000,0.0573
64.4000,0.0572
64.6000,0.0611
64.8000,0.0617
65.0000,0.0672
65.2000,0.0676
65.4000,0.0715
65.6000,0.0725
65.8000,0.0795
66.0000,0.0809
66.2000,0.0849
66.4000,0.0885
66.6000,0.0922
66.8000,0.0983
67.0000,0.1034
67.2000,0.1076
67.4000,0.1125
67.6000,0.1165
67.8000,0.1227
68.0000,0.1314
68.2000,0.1390
68.4000,0.1401
68.6000,0.1487
68.8000,0.1569
69.0000,0.1639
69.2000,0.1697
69.4000,0.1774
69.6000,0.1849
69.8000,0.1920
70.0000,0.2009
70.2000,0.2104
70.4000,0.2198
70.6000,0.2297
70.8000,0.2383
71.0000,0.2492
71.2000,0.2578
71.4000,0.2690
71.6000,0.2809
71.8000,0.2903
72.0000,0.3018
72.2000,0.3040
72.4000,0.3167
72.6000,0.3281
72.8000,0.3420
73.0000,0.3551
73.2000,0.3675
73.4000,0.3809
73.6000,0.3836
73.8000,0.3994
74.0000,0.4129
74.2000,0.4278
74.4000,0.4423
74.6000,0.4569
74.8000,0.4699
75.0000,0.4785
75.2000,0.4919
75.4000,0.5051
75.6000,0.5164
75.8000,0.5305
76.0000,0.5480
76.2000,0.5636
76.4000,0.5779
76.6000,0.5838
76.8000,0.6020
77.0000,0.6173
77.2000,0.6294
77.4000,0.6420
77.6000,0.6581
77.8000,0.6734
78.0000,0.6848
78.2000,0.6945
78.4000,0.7075
78.6000,0.7227
78.8000,0.7385
79.0000,0.7574
79.2000,0.7687
