Tempo	Posicao
0.0333	1.414
0.0584	1.412
0.0835	1.408
0.1085	1.407
0.1336	1.403
0.1587	1.400
0.1838	1.390
0.2088	1.382
0.2338	1.372
0.2589	1.360
0.2839	1.348
0.3089	1.334
0.3339	1.321
0.3590	1.304
0.3839	1.283
0.4089	1.267
0.4340	1.253
0.4590	1.245
0.4840	1.229
0.5090	1.216
0.5340	1.200
0.5591	1.187
0.5841	1.171
0.6091	1.157
0.6341	1.140
0.6591	1.120
0.6841	1.102
0.7090	1.079
0.7340	1.061
0.7590	1.043
0.7840	1.022
0.8090	1.005
0.8340	0.987
0.8590	0.970
0.8840	0.952
0.9090	0.935
0.9340	0.917
0.9590	0.901
0.9840	0.884
1.0090	0.867
1.0340	0.850
1.0590	0.834
1.0840	0.817
1.1090	0.801
1.1340	0.785
1.1590	0.770
1.1840	0.741
1.2090	0.726
1.2340	0.716
1.2589	0.683
1.2839	0.666
1.3089	0.649
1.3340	0.633
1.3590	0.617
1.3840	0.606
1.4090	0.594
1.4340	0.581
1.4591	0.571
1.4841	0.562
1.5092	0.551
1.5342	0.543
1.5593	0.536
1.5844	0.530
1.6094	0.526
1.6345	0.522
1.6596	0.520
1.6847	0.517
1.7098	0.516
1.7349	0.515
1.7600	0.514
1.7851	0.515
1.8102	0.517
1.8353	0.522
1.8604	0.525
1.8855	0.529
1.9107	0.534
1.9358	0.540
1.9609	0.546
1.9861	0.553
2.0112	0.560
2.0364	0.572
2.0615	0.581
2.0867	0.597
2.1119	0.607
2.1371	0.617
2.1622	0.629
2.1874	0.645
2.2126	0.660
2.2378	0.684
2.2631	0.707
2.2883	0.729
2.3135	0.743
2.3387	0.757
2.3639	0.771
2.3890	0.788
2.4142	0.803
2.4394	0.818
2.4646	0.834
2.4898	0.849
2.5150	0.865
2.5402	0.880
2.5654	0.897
2.5906	0.912
2.6158	0.927
2.6410	0.945
2.6662	0.961
2.6914	0.977
2.7165	0.993
2.7417	1.010
2.7669	1.026
2.7921	1.042
2.8173	1.058
2.8425	1.074
2.8677	1.090
2.8929	1.106
2.9181	1.122
2.9433	1.138
2.9685	1.155
2.9937	1.171
3.0189	1.186
3.0441	1.201
3.0692	1.216
3.0944	1.233
3.1196	1.247
3.1448	1.264
3.1700	1.280
3.1952	1.297
3.2204	1.313
3.2456	1.324
3.2707	1.335
3.2959	1.343
3.3210	1.353
3.3462	1.359
3.3713	1.362
3.3964	1.369
3.4216	1.374
3.4467	1.381
3.4718	1.387
3.4969	1.389
3.5221	1.393
3.5472	1.395
3.5723	1.397
3.5974	1.397
3.6225	1.398
3.6476	1.400
3.6727	1.400
3.6978	1.397
3.7229	1.396
3.7480	1.397
3.7731	1.395
3.7982	1.394
3.8232	1.386
3.8483	1.389
3.8734	1.384
3.8985	1.381
3.9236	1.373
3.9486	1.367
3.9737	1.361
3.9987	1.353
4.0238	1.344
4.0488	1.334
4.0739	1.324
4.0989	1.316
4.1240	1.305
4.1490	1.293
4.1740	1.281
4.1991	1.272
4.2241	1.260
4.2491	1.246
4.2741	1.233
4.2992	1.219
4.3242	1.204
4.3492	1.187
4.3742	1.172
4.3992	1.155
4.4242	1.139
4.4492	1.122
4.4742	1.106
4.4992	1.091
4.5242	1.075
4.5492	1.060
4.5742	1.042
4.5992	1.026
4.6242	1.010
4.6493	0.995
4.6743	0.980
4.6993	0.964
4.7243	0.949
4.7493	0.934
4.7743	0.918
4.7993	0.903
4.8243	0.888
4.8493	0.873
4.8744	0.859
4.8994	0.844
4.9244	0.830
4.9494	0.815
4.9744	0.802
4.9994	0.788
5.0245	0.772
5.0495	0.759
5.0745	0.747
5.0995	0.729
5.1245	0.711
5.1495	0.689
5.1745	0.673
5.1995	0.663
5.2245	0.649
5.2496	0.640
5.2746	0.623
5.2996	0.614
5.3247	0.603
5.3497	0.595
5.3748	0.589
5.3998	0.580
5.4249	0.571
5.4500	0.570
5.4751	0.566
5.5001	0.563
5.5252	0.560
5.5503	0.555
5.5754	0.554
5.6005	0.554
5.6256	0.554
5.6507	0.556
5.6758	0.558
5.7009	0.561
5.7260	0.564
5.7512	0.571
5.7763	0.576
5.8014	0.581
5.8266	0.587
5.8517	0.597
5.8769	0.608
5.9020	0.616
5.9272	0.628
5.9524	0.636
5.9775	0.650
6.0027	0.663
6.0279	0.680
6.0532	0.709
6.0784	0.722
6.1035	0.735
6.1287	0.747
6.1539	0.760
6.1791	0.772
6.2042	0.785
6.2294	0.798
6.2546	0.812
6.2798	0.825
6.3049	0.839
6.3301	0.853
6.3553	0.867
6.3805	0.881
6.4057	0.895
6.4308	0.907
6.4560	0.922
6.4812	0.939
6.5064	0.953
6.5316	0.968
6.5568	0.983
6.5820	0.998
6.6072	1.012
6.6323	1.027
6.6575	1.041
6.6827	1.056
6.7079	1.070
6.7331	1.085
6.7583	1.099
6.7834	1.113
6.8086	1.127
6.8338	1.140
6.8590	1.155
6.8842	1.171
6.9094	1.184
6.9345	1.197
6.9597	1.211
6.9849	1.223
7.0101	1.238
7.0353	1.253
7.0604	1.265
7.0856	1.276
7.1108	1.290
7.1359	1.304
7.1611	1.315
7.1863	1.327
7.2115	1.346
7.2367	1.358
7.2617	1.352
7.2868	1.349
7.3119	1.354
7.3371	1.358
7.3622	1.362
7.3873	1.368
7.4124	1.368
7.4376	1.375
7.4627	1.375
7.4878	1.377
7.5129	1.377
7.5380	1.379
7.5631	1.379
7.5882	1.378
7.6133	1.374
7.6383	1.372
7.6634	1.369
7.6885	1.369
7.7136	1.366
7.7387	1.363
7.7638	1.356
7.7888	1.351
7.8139	1.347
7.8390	1.340
7.8640	1.333
7.8891	1.325
7.9141	1.317
7.9392	1.311
7.9642	1.303
7.9893	1.296
8.0143	1.286
8.0394	1.275
8.0644	1.264
8.0895	1.253
8.1145	1.238
8.1395	1.226
8.1645	1.213
8.1896	1.201
8.2146	1.188
8.2396	1.172
8.2646	1.156
8.2896	1.143
8.3146	1.129
8.3397	1.116
8.3647	1.102
8.3897	1.088
8.4147	1.074
8.4397	1.058
8.4647	1.043
8.4898	1.029
8.5148	1.015
8.5398	1.001
8.5648	0.987
8.5898	0.973
8.6148	0.959
8.6399	0.945
8.6649	0.932
8.6899	0.918
8.7149	0.902
8.7399	0.890
8.7650	0.877
8.7900	0.864
8.8150	0.851
8.8400	0.838
8.8651	0.825
8.8901	0.809
8.9151	0.797
8.9401	0.786
8.9651	0.766
8.9902	0.762
9.0152	0.737
9.0402	0.730
9.0653	0.722
9.0902	0.702
9.1153	0.690
9.1403	0.676
9.1653	0.664
9.1904	0.657
9.2154	0.644
9.2405	0.637
9.2655	0.630
9.2906	0.617
9.3156	0.615
9.3407	0.607
9.3658	0.603
9.3908	0.596
9.4159	0.592
9.4410	0.590
9.4661	0.588
9.4912	0.587
9.5163	0.587
9.5414	0.587
9.5665	0.588
9.5916	0.590
9.6167	0.592
9.6418	0.591
9.6669	0.595
9.6921	0.601
9.7172	0.606
9.7423	0.615
9.7675	0.623
9.7926	0.631
9.8178	0.644
9.8430	0.651
9.8681	0.659
9.8933	0.671
9.9184	0.680
9.9436	0.699
9.9689	0.724
9.9941	0.737
10.0192	0.745
10.0444	0.758
10.0695	0.768
10.0947	0.780
10.1199	0.791
10.1450	0.803
10.1702	0.815
10.1954	0.827
10.2206	0.840
10.2457	0.852
10.2709	0.865
10.2961	0.878
10.3213	0.891
10.3464	0.904
10.3716	0.917
10.3968	0.930
10.4220	0.944
10.4471	0.957
10.4723	0.971
10.4975	0.984
10.5227	0.998
10.5478	1.011
10.5730	1.024
10.5982	1.038
10.6234	1.051
10.6486	1.064
10.6737	1.073
10.6989	1.090
10.7241	1.103
10.7492	1.113
10.7744	1.126
10.7996	1.142
10.8248	1.155
10.8500	1.169
10.8751	1.181
10.9003	1.192
10.9255	1.204
10.9506	1.215
10.9758	1.227
11.0010	1.237
11.0261	1.251
11.0513	1.261
11.0765	1.273
11.1016	1.283
11.1268	1.294
11.1519	1.303
11.1771	1.311
11.2022	1.321
11.2274	1.325
11.2525	1.330
11.2776	1.337
11.3028	1.342
11.3279	1.347
11.3530	1.347
11.3781	1.350
11.4032	1.353
11.4284	1.356
11.4535	1.361
11.4786	1.361
11.5037	1.362
11.5288	1.362
11.5539	1.362
11.5790	1.360
11.6040	1.355
11.6291	1.353
11.6542	1.350
11.6793	1.346
11.7044	1.345
11.7294	1.337
11.7545	1.332
11.7796	1.326
11.8047	1.323
11.8297	1.316
11.8548	1.307
11.8798	1.302
11.9049	1.294
11.9300	1.289
11.9550	1.277
11.9801	1.271
12.0051	1.258
12.0301	1.248
12.0551	1.235
12.0802	1.224
12.1052	1.213
12.1303	1.202
12.1553	1.187
12.1803	1.175
12.2053	1.161
12.2303	1.149
12.2554	1.137
12.2804	1.124
12.3054	1.112
12.3305	1.099
12.3555	1.087
12.3805	1.074
12.4055	1.059
12.4305	1.046
12.4556	1.033
12.4806	1.020
12.5056	1.007
12.5307	0.994
12.5557	0.981
12.5807	0.969
12.6057	0.956
12.6308	0.943
12.6558	0.930
12.6808	0.918
12.7058	0.905
12.7309	0.893
12.7559	0.881
12.7809	0.869
12.8060	0.857
12.8310	0.845
12.8560	0.833
12.8810	0.822
12.9061	0.811
12.9311	0.800
12.9561	0.786
12.9812	0.775
13.0062	0.766
13.0312	0.752
13.0563	0.747
13.0813	0.733
13.1064	0.726
13.1314	0.716
13.1564	0.695
13.1815	0.687
13.2065	0.674
13.2315	0.667
13.2566	0.661
13.2817	0.652
13.3067	0.643
13.3318	0.642
13.3569	0.638
13.3820	0.635
13.4070	0.625
13.4321	0.622
13.4572	0.620
13.4823	0.619
13.5074	0.622
13.5325	0.623
13.5576	0.623
13.5827	0.628
13.6078	0.630
13.6329	0.629
13.6580	0.631
13.6832	0.638
13.7083	0.646
13.7334	0.650
13.7586	0.653
13.7837	0.660
13.8089	0.671
13.8341	0.685
13.8592	0.698
13.8843	0.699
13.9095	0.717
13.9347	0.728
13.9599	0.738
13.9850	0.747
14.0102	0.759
14.0353	0.768
14.0605	0.778
14.0857	0.788
14.1108	0.799
14.1360	0.809
14.1611	0.820
14.1863	0.831
14.2115	0.842
14.2366	0.854
14.2618	0.866
14.2870	0.877
14.3121	0.889
14.3373	0.901
14.3625	0.913
14.3876	0.921
14.4128	0.933
14.4380	0.950
14.4632	0.962
14.4883	0.974
14.5135	0.984
14.5387	0.999
14.5638	1.011
14.5890	1.024
14.6142	1.036
14.6394	1.048
14.6645	1.060
14.6897	1.072
14.7149	1.084
14.7400	1.096
14.7652	1.098
14.7903	1.105
14.8155	1.120
14.8407	1.136
14.8659	1.150
14.8910	1.165
14.9162	1.172
14.9414	1.189
14.9665	1.199
14.9917	1.209
15.0169	1.219
15.0420	1.229
15.0672	1.238
15.0923	1.249
15.1175	1.258
15.1426	1.269
15.1678	1.277
15.1929	1.285
15.2181	1.295
15.2433	1.304
15.2684	1.314
15.2935	1.319
15.3187	1.324
15.3438	1.329
15.3689	1.332
15.3940	1.334
15.4191	1.332
15.4442	1.338
15.4694	1.340
15.4945	1.341
15.5196	1.339
15.5447	1.338
15.5698	1.338
15.5948	1.334
15.6199	1.326
15.6450	1.327
15.6700	1.314
15.6951	1.311
15.7202	1.307
15.7452	1.300
15.7703	1.299
15.7954	1.298
15.8205	1.289
15.8455	1.283
15.8706	1.280
15.8957	1.271
15.9207	1.262
15.9458	1.260
15.9708	1.251
15.9959	1.244
16.0210	1.242
16.0461	1.236
16.0711	1.228
16.0962	1.218
16.1212	1.206
16.1462	1.196
16.1712	1.182
16.1963	1.172
16.2213	1.161
16.2464	1.150
16.2714	1.139
16.2964	1.128
16.3215	1.117
16.3465	1.105
16.3715	1.094
16.3965	1.080
16.4216	1.068
16.4466	1.056
16.4716	1.044
16.4967	1.032
16.5217	1.021
16.5467	1.009
16.5718	0.997
16.5968	0.985
16.6218	0.973
16.6469	0.961
16.6719	0.949
16.6969	0.938
16.7220	0.926
16.7470	0.913
16.7720	0.901
16.7971	0.892
16.8221	0.881
16.8471	0.870
16.8722	0.859
16.8972	0.848
16.9222	0.837
16.9473	0.827
16.9723	0.817
16.9973	0.805
17.0224	0.794
17.0474	0.785
17.0725	0.773
17.0975	0.763
17.1225	0.752
17.1476	0.744
17.1727	0.743
17.1977	0.724
17.2227	0.714
17.2478	0.708
17.2728	0.694
17.2979	0.698
17.3229	0.683
17.3480	0.674
17.3730	0.666
17.3981	0.663
17.4232	0.663
17.4483	0.656
17.4734	0.654
17.4984	0.648
17.5235	0.643
17.5486	0.642
17.5737	0.641
17.5988	0.642
17.6239	0.645
17.6490	0.647
17.6741	0.648
17.6992	0.650
17.7244	0.656
17.7495	0.663
17.7747	0.671
17.7998	0.668
17.8249	0.672
17.8500	0.681
17.8751	0.682
17.9003	0.692
17.9254	0.699
17.9506	0.715
17.9758	0.720
18.0009	0.727
18.0261	0.742
18.0513	0.761
18.0764	0.770
18.1016	0.778
18.1267	0.788
18.1519	0.799
18.1771	0.809
18.2022	0.818
18.2274	0.828
18.2525	0.839
18.2777	0.849
18.3029	0.859
18.3280	0.870
18.3532	0.881
18.3784	0.891
18.4035	0.902
18.4287	0.913
18.4538	0.925
18.4790	0.936
18.5042	0.947
18.5293	0.958
18.5545	0.970
18.5797	0.981
18.6048	0.993
18.6300	1.004
18.6551	1.009
18.6803	1.020
18.7054	1.025
18.7306	1.042
18.7558	1.050
18.7809	1.058
18.8061	1.068
18.8312	1.077
18.8564	1.087
18.8815	1.097
18.9068	1.115
18.9319	1.122
18.9571	1.132
18.9822	1.139
19.0074	1.156
19.0325	1.165
19.0577	1.181
19.0829	1.186
19.1081	1.203
19.1332	1.212
19.1584	1.223
19.1835	1.232
19.2087	1.242
19.2338	1.250
19.2590	1.257
19.2841	1.266
19.3093	1.273
19.3344	1.272
19.3595	1.270
19.3846	1.274
19.4098	1.294
19.4350	1.304
19.4601	1.308
19.4852	1.311
19.5103	1.314
19.5354	1.317
19.5605	1.321
19.5857	1.323
19.6107	1.320
19.6358	1.321
19.6609	1.320
19.6860	1.320
19.7111	1.319
19.7362	1.317
19.7613	1.315
19.7864	1.313
19.8115	1.309
19.8366	1.305
19.8616	1.301
19.8867	1.297
19.9118	1.292
19.9369	1.287
19.9619	1.281
19.9870	1.275
20.0120	1.266
20.0371	1.259
20.0621	1.250
20.0872	1.241
20.1122	1.233
20.1373	1.223
20.1623	1.214
20.1874	1.205
20.2124	1.196
20.2375	1.184
20.2625	1.175
20.2875	1.165
20.3126	1.155
20.3376	1.146
20.3627	1.135
20.3877	1.125
20.4128	1.115
20.4378	1.105
