Tempo	Posicao
0.0332	1.399
0.0565	1.083
0.0832	1.363
0.1083	1.367
0.1333	1.351
0.1584	1.346
0.1835	1.345
0.2085	1.322
0.2335	1.311
0.2585	1.297
0.2834	1.262
0.3086	1.275
0.3336	1.260
0.3586	1.248
0.3837	1.235
0.4086	1.216
0.4337	1.207
0.4586	1.175
0.4837	1.170
0.5086	1.139
0.5336	1.129
0.5586	1.104
0.5836	1.093
0.6086	1.076
0.6336	1.052
0.6586	1.034
0.6836	1.019
0.7085	0.992
0.7336	0.984
0.7586	0.965
0.7835	0.939
0.8086	0.929
0.8336	0.912
0.8586	0.894
0.8836	0.880
0.9085	0.856
0.9335	0.837
0.9585	0.816
0.9835	0.795
1.0085	0.778
1.0335	0.759
1.0585	0.747
1.0835	0.729
1.1085	0.706
1.1335	0.688
1.1585	0.677
1.1835	0.657
1.2084	0.632
1.2335	0.622
1.2585	0.610
1.2835	0.592
1.3085	0.582
1.3336	0.571
1.3587	0.565
1.3837	0.552
1.4087	0.544
1.4338	0.536
1.4589	0.530
1.4839	0.521
1.5090	0.519
1.5340	0.513
1.5591	0.512
1.5842	0.509
1.6093	0.508
1.6344	0.507
1.6595	0.508
1.6846	0.510
1.7097	0.511
1.7348	0.512
1.7600	0.515
1.7851	0.523
1.8103	0.531
1.8354	0.535
1.8605	0.542
1.8857	0.550
1.9108	0.559
1.9360	0.571
1.9611	0.577
1.9863	0.592
2.0115	0.603
2.0367	0.619
2.0619	0.638
2.0871	0.651
2.1123	0.671
2.1375	0.688
2.1626	0.699
2.1879	0.729
2.2131	0.740
2.2383	0.762
2.2635	0.781
2.2887	0.800
2.3139	0.811
2.3391	0.835
2.3643	0.848
2.3895	0.868
2.4147	0.884
2.4399	0.901
2.4651	0.917
2.4903	0.931
2.5155	0.951
2.5407	0.969
2.5659	0.983
2.5911	1.000
2.6163	1.012
2.6415	1.036
2.6667	1.053
2.6918	1.059
2.7169	1.058
2.7421	1.071
2.7675	1.116
2.7927	1.136
2.8179	1.152
2.8430	1.164
2.8682	1.176
2.8934	1.201
2.9186	1.213
2.9438	1.221
2.9690	1.242
2.9941	1.249
3.0193	1.265
3.0445	1.287
3.0696	1.280
3.0950	1.321
3.1200	1.308
3.1454	1.365
3.1705	1.366
3.1955	1.351
3.2206	1.353
3.2459	1.379
3.2709	1.363
3.2961	1.385
3.3213	1.394
3.3463	1.389
3.3714	1.387
3.3965	1.389
3.4217	1.391
3.4469	1.409
3.4719	1.396
3.4971	1.411
3.5222	1.408
3.5458	1.159
3.5723	1.396
3.5974	1.401
3.6225	1.398
3.6476	1.393
3.6726	1.389
3.6978	1.392
3.7228	1.385
3.7479	1.379
3.7729	1.369
3.7980	1.360
3.8231	1.366
3.8481	1.353
3.8732	1.343
3.8982	1.337
3.9232	1.311
3.9484	1.325
3.9733	1.296
3.9982	1.265
4.0235	1.289
4.0485	1.275
4.0734	1.244
4.0984	1.223
4.1235	1.227
4.1484	1.191
4.1734	1.181
4.1984	1.159
4.2234	1.147
4.2485	1.146
4.2734	1.113
4.2986	1.115
4.3235	1.096
4.3486	1.081
4.3735	1.059
4.3986	1.049
4.4236	1.033
4.4486	1.014
4.4736	1.002
4.4985	0.972
4.5236	0.967
4.5485	0.940
4.5736	0.932
4.5986	0.916
4.6236	0.904
4.6486	0.888
4.6736	0.870
4.6986	0.855
4.7236	0.839
4.7486	0.817
4.7736	0.798
4.7987	0.788
4.8237	0.773
4.8486	0.749
4.8737	0.738
4.8987	0.722
4.9237	0.702
4.9487	0.692
4.9737	0.681
4.9987	0.661
5.0237	0.648
5.0488	0.636
5.0738	0.626
5.0988	0.613
5.1239	0.604
5.1489	0.592
5.1740	0.584
5.1990	0.574
5.2241	0.567
5.2491	0.562
5.2742	0.556
5.2993	0.552
5.3243	0.546
5.3494	0.547
5.3745	0.545
5.3996	0.544
5.4247	0.543
5.4498	0.544
5.4749	0.545
5.5000	0.547
5.5252	0.549
5.5503	0.550
5.5754	0.557
5.6006	0.565
5.6257	0.570
5.6508	0.580
5.6760	0.587
5.7011	0.598
5.7263	0.600
5.7514	0.616
5.7766	0.625
5.8018	0.635
5.8269	0.645
5.8521	0.663
5.8773	0.681
5.9025	0.698
5.9277	0.706
5.9529	0.725
5.9781	0.746
6.0033	0.755
6.0284	0.765
6.0537	0.793
6.0789	0.810
6.1040	0.822
6.1292	0.836
6.1544	0.851
6.1796	0.865
6.2048	0.883
6.2300	0.897
6.2552	0.909
6.2803	0.926
6.3055	0.939
6.3307	0.956
6.3559	0.973
6.3811	0.990
6.4063	1.004
6.4315	1.021
6.4566	1.027
6.4818	1.044
6.5071	1.065
6.5322	1.080
6.5574	1.095
6.5826	1.109
6.6077	1.107
6.6330	1.139
6.6582	1.152
6.6834	1.167
6.7085	1.176
6.7336	1.183
6.7589	1.203
6.7840	1.211
6.8092	1.225
6.8343	1.233
6.8596	1.253
6.8847	1.267
6.9099	1.275
6.9350	1.279
6.9602	1.299
6.9853	1.290
7.0106	1.331
7.0358	1.351
7.0609	1.355
7.0860	1.352
7.1112	1.370
7.1364	1.373
7.1614	1.363
7.1865	1.372
7.2116	1.369
7.2366	1.349
