Tempo	Posicao
5.5350E-4	0.190
0.0206	0.190
0.0406	0.190
0.0606	0.191
0.0806	0.193
0.1006	0.195
0.1206	0.198
0.1406	0.201
0.1606	0.205
0.1806	0.209
0.2006	0.213
0.2206	0.221
0.2407	0.224
0.2607	0.231
0.2807	0.234
0.3007	0.241
0.3207	0.246
0.3407	0.252
0.3607	0.258
0.3808	0.263
0.4008	0.267
0.4208	0.271
0.4408	0.275
0.4608	0.278
0.4808	0.280
0.5008	0.282
0.5208	0.283
0.5408	0.284
0.5608	0.284
0.5808	0.284
0.6008	0.283
0.6208	0.280
0.6408	0.278
0.6608	0.275
0.6808	0.272
0.7008	0.268
0.7208	0.263
0.7408	0.259
0.7607	0.253
0.7807	0.248
0.8007	0.242
0.8207	0.237
0.8407	0.230
0.8607	0.224
0.8806	0.219
0.9006	0.214
0.9206	0.209
0.9406	0.205
0.9606	0.201
0.9806	0.198
1.0006	0.195
1.0206	0.193
1.0406	0.192
1.0606	0.191
1.0806	0.190
1.1006	0.191
1.1206	0.191
1.1406	0.193
1.1606	0.196
1.1806	0.198
1.2006	0.203
1.2206	0.205
1.2406	0.211
1.2606	0.215
1.2806	0.221
1.3007	0.227
1.3207	0.232
1.3407	0.238
1.3607	0.245
1.3807	0.250
1.4007	0.255
1.4208	0.260
1.4408	0.265
1.4608	0.270
1.4808	0.274
1.5008	0.278
1.5208	0.281
1.5408	0.283
1.5608	0.285
1.5808	0.286
1.6008	0.287
1.6208	0.287
1.6408	0.287
1.6608	0.285
1.6808	0.283
1.7008	0.281
1.7208	0.279
1.7408	0.275
1.7608	0.271
1.7808	0.267
1.8008	0.260
1.8207	0.256
1.8407	0.249
1.8607	0.243
1.8807	0.238
1.9007	0.232
1.9207	0.227
1.9406	0.220
1.9606	0.214
1.9806	0.210
2.0006	0.206
2.0206	0.202
2.0406	0.198
2.0606	0.196
2.0806	0.194
2.1006	0.192
2.1206	0.191
2.1406	0.191
2.1606	0.191
2.1806	0.192
2.2006	0.193
2.2206	0.196
2.2406	0.198
2.2606	0.201
2.2806	0.205
2.3006	0.209
2.3206	0.213
2.3406	0.218
2.3606	0.223
2.3807	0.228
2.4007	0.233
2.4207	0.239
2.4407	0.244
2.4607	0.249
2.4807	0.254
2.5008	0.259
2.5208	0.264
2.5408	0.267
2.5608	0.271
2.5808	0.275
2.6008	0.277
2.6208	0.281
2.6408	0.282
2.6608	0.283
2.6808	0.283
2.7008	0.283
2.7208	0.282
2.7408	0.280
2.7608	0.278
2.7808	0.275
2.8008	0.271
2.8208	0.267
2.8408	0.263
2.8608	0.259
2.8807	0.253
2.9007	0.248
2.9207	0.243
2.9407	0.237
2.9607	0.232
2.9807	0.227
3.0006	0.222
3.0206	0.215
3.0406	0.213
3.0606	0.209
3.0806	0.205
3.1006	0.201
3.1206	0.199
3.1406	0.197
3.1606	0.196
3.1806	0.195
3.2006	0.194
3.2206	0.195
3.2406	0.196
3.2606	0.198
3.2806	0.199
3.3006	0.201
3.3206	0.204
3.3406	0.207
3.3606	0.212
3.3806	0.216
3.4006	0.221
3.4207	0.226
3.4407	0.231
3.4607	0.236
3.4807	0.241
3.5007	0.246
3.5207	0.252
3.5407	0.256
3.5608	0.261
3.5808	0.265
3.6008	0.269
3.6208	0.272
3.6408	0.276
3.6608	0.278
3.6808	0.280
3.7008	0.282
3.7208	0.282
3.7408	0.282
3.7608	0.281
3.7808	0.281
3.8008	0.279
3.8208	0.277
3.8408	0.273
3.8608	0.270
3.8808	0.266
3.9008	0.260
3.9207	0.257
3.9407	0.251
3.9607	0.245
3.9807	0.240
4.0007	0.237
4.0207	0.230
4.0407	0.224
4.0606	0.219
4.0806	0.215
4.1006	0.210
4.1206	0.207
4.1406	0.203
4.1606	0.201
4.1806	0.198
4.2006	0.196
4.2206	0.195
4.2406	0.194
4.2606	0.193
4.2806	0.194
4.3006	0.195
4.3206	0.196
4.3406	0.198
4.3606	0.201
4.3806	0.204
4.4006	0.207
4.4206	0.212
4.4406	0.216
4.4606	0.220
4.4807	0.225
4.5007	0.230
4.5207	0.234
4.5407	0.239
4.5607	0.246
4.5807	0.249
4.6007	0.254
4.6208	0.259
4.6408	0.265
4.6608	0.269
4.6808	0.270
4.7008	0.273
4.7208	0.277
4.7408	0.279
4.7608	0.279
4.7808	0.282
4.8008	0.282
4.8208	0.281
4.8408	0.280
4.8608	0.278
4.8808	0.274
4.9008	0.273
